SubjID,nw_target,nw_response_time,nw_famsize,simp_comp,nw_LogBf
105,wigish,925,L,SIMP,5.57
105,bindig,619,L,COMP,6.11
105,smoothful,857,L,SIMP,6.95
105,mouthime,913,L,COMP,7.96
105,witchish,781,L,SIMP,6.79
105,kingilm,575,L,COMP,7.73
105,aidic,716,S,SIMP,7.06
105,yieldist,641,S,SIMP,6.42
105,aridilm,654,S,COMP,4.61
105,valider,992,L,SIMP,6.43
105,prayance,644,L,SIMP,6.96
105,pillime,588,S,COMP,6.29
105,figel,643,S,COMP,5.28
105,elbowism,712,L,SIMP,7.47
105,taxful,626,L,SIMP,7.92
105,bandary,694,L,SIMP,6.89
105,dumbidy,620,S,COMP,5.5
105,weldig,676,S,COMP,4.86
105,debtith,577,S,COMP,6.49
105,antilm,703,S,COMP,5.33
105,digory,603,S,SIMP,6.66
105,growist,569,L,SIMP,9.05
105,zoomful,860,S,SIMP,3.53
105,classous,641,L,SIMP,8.73
105,pickence,586,L,SIMP,8.13
105,fanfil,530,S,COMP,6.16
105,opposement,611,S,SIMP,6.9
105,habitic,641,L,SIMP,7.63
105,humidoes,604,S,COMP,4.52
105,gumful,593,S,SIMP,4.04
105,pitchody,498,L,COMP,6.41
105,tiltary,629,S,SIMP,5.79
105,happenange,12462,S,COMP,8.85
105,coldidy,597,L,COMP,8.18
105,altarig,712,S,COMP,6
105,boil,489,L,COMP,7
105,medicalary,710,S,SIMP,7.19
105,jawly,519,S,SIMP,6.03
105,gasfil,626,L,COMP,7.31
105,employnels,622,L,COMP,8.44
105,freenels,600,L,COMP,8.89
105,ripenge,622,L,COMP,6.15
105,illilt,515,L,COMP,7.77
105,stirange,587,L,COMP,6.73
105,ime,638,L,COMP,7.84
105,nextness,712,S,SIMP,8.91
105,nutly,546,L,SIMP,6.85
105,schemeness,666,S,SIMP,7.39
105,lidady,572,S,COMP,6.26
105,breakidy,507,L,COMP,8.76
105,dressory,627,L,SIMP,8.26
105,mudla,502,L,COMP,6.82
105,truenels,566,S,COMP,NA
105,inkilm,570,L,COMP,5.67
105,begence,454,L,SIMP,6.4
105,ejectenge,480,S,COMP,4.19
105,bearist,991,L,SIMP,7.87
105,fiendilm,538,S,COMP,3.97
105,elmilt,879,S,COMP,5.16
105,princemant,620,S,COMP,6.81
105,adoptish,656,S,COMP,7.09
105,angelith,513,L,COMP,6.48
105,criticance,995,L,SIMP,7.91
105,curtidy,809,S,COMP,4.48
105,advertisely,485,S,SIMP,1.56
105,towerly,680,L,SIMP,7.07
105,bogary,594,L,SIMP,5.56
105,poority,604,L,SIMP,8.38
105,winkity,637,S,SIMP,5.38
105,thrillance,596,S,SIMP,5.73
105,heightenge,873,S,COMP,6.82
105,passmant,540,L,COMP,9.21
105,helmetous,603,S,SIMP,5.49
105,baskory,622,S,SIMP,4.22
105,tripady,576,L,COMP,7.23
105,urnist,529,S,SIMP,4.22
105,socketer,716,S,SIMP,4.96
105,addmant,711,L,COMP,8.68
105,meltange,567,S,COMP,6.06
105,agreela,710,L,COMP,8.46
106,freeness,607,L,COMP,8.89
106,aridism,843,S,COMP,4.61
106,flipory,830,L,COMP,5.21
106,classoes,813,L,SIMP,8.73
106,northize,799,L,COMP,7.84
106,bloodel,783,L,SIMP,8.29
106,employness,664,L,COMP,8.44
106,begenge,893,L,SIMP,6.4
106,tiltady,993,S,SIMP,5.79
106,fellowous,699,L,COMP,7.19
106,nextnels,695,S,SIMP,8.91
106,meltance,778,S,COMP,6.06
106,helmetoes,633,S,SIMP,5.49
106,ripence,748,L,COMP,6.15
106,schemenels,938,S,SIMP,7.39
106,breakity,694,L,COMP,8.76
106,trueness,424,S,COMP,NA
106,criticange,685,L,SIMP,7.91
106,curtity,775,S,COMP,4.48
