"","subject_nr","target","response_time","famsize","LogBf"
"405",106,"allowance",498,"S",8.52
"406",106,"peaking",628,"S",6.3
"407",106,"detectable",684,"S",6.89
"408",106,"mossy",444,"S",5
"409",106,"barker",526,"L",5.96
"410",106,"bootless",766,"L",6.85
"411",106,"speller",766,"L",6.66
"412",106,"tossing",585,"S",6.01
"413",106,"weedy",992,"L",6.59
"414",106,"grimly",524,"S",6.31
"415",106,"hunter",505,"L",7.47
"416",106,"excitement",625,"L",7.56
"417",106,"cleaner",481,"L",7.96
"418",106,"dryness",549,"L",7.77
"419",106,"conductor",531,"L",6.99
"420",106,"locker",531,"L",7.41
"421",106,"costly",525,"S",8.35
"422",106,"dreamer",680,"L",7.75
"423",106,"laughing",464,"L",8.34
"424",106,"deafness",468,"L",5.67
"425",106,"cooling",479,"L",7.27
"426",106,"swimmer",658,"L",7.04
"427",106,"guilty",503,"S",7.36
"428",106,"faithful",562,"L",7.19
"429",106,"design",57695,"S",8.1
"430",106,"bossy",548,"S",6.31
"431",106,"magical",475,"S",6.92
"432",106,"mildness",682,"S",6.52
"433",106,"jumping",421,"L",7.24
"434",106,"toaster",876,"S",5.83
"435",106,"planner",785,"S",8.61
"436",106,"heater",501,"L",7.97
"437",106,"flexible",892,"L",6.5
"438",106,"madness",536,"L",7.17
"439",106,"boldness",718,"S",5.94
"440",106,"jailer",706,"S",6.52
"441",106,"teacher",752,"S",8.64
"442",106,"effortless",758,"S",7.81
"443",106,"dampish",778,"L",6.43
"444",106,"singer",734,"S",7.69
"445",106,"amusement",743,"S",6.75
"446",106,"widowed",734,"S",6.21
"447",106,"kicking",508,"L",6.92
"448",106,"collector",817,"L",8.08
"449",106,"awareness",727,"S",7.78
"450",106,"pusher",847,"L",7.83
"451",106,"densely",572,"S",6.48
"452",106,"strangeness",655,"S",7.98
"453",106,"richness",780,"S",7.96
"454",106,"professor",694,"L",8.18
"455",106,"buyer",629,"S",8.39
"456",106,"boneless",726,"L",7.31
"457",106,"enjoyment",758,"S",7.93
