base,word,Word.2,OkayToUse,Word.3,Condition,cond_trig,word_trig,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist
humid,humidous,humidous,TRUE,HUMIDOUS,NW_S_COMP,203,25,Complex,ous,XuTaft,4,92,4.52,S,S,5.00,8.00,1
ill,illilt,illilt,TRUE,ILLILT,NW_L_SIMP,206,9,Simple,ist,Crepaldi,27,2375,7.77,L,L,3.00,6.00,1
ill,illist,illist,TRUE,ILLIST,NW_L_COMP,204,9,Complex,ist,Crepaldi,27,2375,7.77,L,L,3.00,6.00,1
north,ime,ime,TRUE,IME,NW_L_SIMP,206,20,Simple,ize,Rastle,30,2541,7.84,L,L,5.00,8.00,1
ink,inkilm,inkilm,TRUE,INKILM,NW_L_SIMP,206,8,Simple,ish,Crepaldi,12,290,5.67,L,S,3.00,6.00,1
ink,inkism,inkism,TRUE,INKISM,NW_L_COMP,204,8,Complex,ish,Crepaldi,12,290,5.67,L,S,3.00,6.00,1
jaw,jawla,jawla,TRUE,JAWLA,NW_S_SIMP,205,7,Simple,ly,Crepaldi,7,414,6.03,S,S,3.00,5.00,2
jaw,jawly,jawly,TRUE,JAWLY,NW_S_COMP,203,7,Complex,ly,Crepaldi,7,414,6.03,S,S,3.00,5.00,2
king,kingilm,kingilm,TRUE,KINGILM,NW_L_SIMP,206,19,Simple,ish,Rastle,11,2275,7.73,L,L,4.00,7.00,1
king,kingism,kingism,TRUE,KINGISM,NW_L_COMP,204,19,Complex,ish,Rastle,11,2275,7.73,L,L,4.00,7.00,1
lid,lidady,lidady,TRUE,LIDADY,NW_S_SIMP,205,3,Simple,ary,Crepaldi,3,523,6.26,S,S,3.00,6.00,1
lid,lidary,lidary,TRUE,LIDARY,NW_S_COMP,203,3,Complex,ary,Crepaldi,3,523,6.26,S,S,3.00,6.00,1
long,longnels,longnels,TRUE,LONGNELS,NW_L_SIMP,206,17,Simple,ness,Crepaldi,59,19076,9.86,L,L,4.00,8.00,2
long,longness,longness,TRUE,LONGNESS,NW_L_COMP,204,17,Complex,ness,Crepaldi,59,19076,9.86,L,L,4.00,8.00,2
medical,medicalady,medicalady,TRUE,MEDICALADY,NW_S_SIMP,205,18,Simple,ary,RastleFiller,3,1323,7.19,S,L,7.00,10.00,2
medical,medicalary,medicalary,TRUE,MEDICALARY,NW_S_COMP,203,18,Complex,ary,RastleFiller,3,1323,7.19,S,L,7.00,10.00,2
melt,meltance,meltance,TRUE,MELTANCE,NW_S_COMP,203,1,Complex,ance,Crepaldi,5,429,6.06,S,S,4.00,8.00,1
melt,meltange,meltange,TRUE,MELTANGE,NW_S_SIMP,205,1,Simple,ance,Crepaldi,5,429,6.06,S,S,4.00,8.00,1
mouth,mouthime,mouthime,TRUE,MOUTHIME,NW_L_SIMP,206,11,Simple,ize,Crepaldi,18,2866,7.96,L,L,5.00,8.00,1
mouth,mouthize,mouthize,TRUE,MOUTHIZE,NW_L_COMP,204,11,Complex,ize,Crepaldi,18,2866,7.96,L,L,5.00,8.00,1
mud,mudla,mudla,TRUE,MUDLA,NW_L_SIMP,206,12,Simple,ly,Crepaldi,16,912,6.82,L,L,3.00,5.00,1
mud,mudly,mudly,TRUE,MUDLY,NW_L_COMP,204,12,Complex,ly,Crepaldi,16,912,6.82,L,L,3.00,5.00,1
next,nextnels,nextnels,TRUE,NEXTNELS,NW_S_SIMP,205,9,Simple,ness,Crepaldi,4,7415,8.91,S,L,4.00,8.00,2
next,nextness,nextness,TRUE,NEXTNESS,NW_S_COMP,203,9,Complex,ness,Crepaldi,4,7415,8.91,S,L,4.00,8.00,2
north,northize,northize,TRUE,NORTHIZE,NW_L_COMP,204,20,Complex,ize,Rastle,30,2541,7.84,L,L,5.00,8.00,1
null,nullish,nullish,TRUE,NULLISH,NW_S_COMP,203,23,Complex,ish,XuTaft,4,45,3.81,S,S,4.00,7.00,2
null,nullith,nullith,TRUE,NULLITH,NW_S_SIMP,205,23,Simple,ish,XuTaft,4,45,3.81,S,S,4.00,7.00,2
nut,nutla,nutla,TRUE,NUTLA,NW_L_SIMP,206,14,Simple,ly,Crepaldi,31,946,6.85,L,L,3.00,5.00,2
nut,nutly,nutly,TRUE,NUTLY,NW_L_COMP,204,14,Complex,ly,Crepaldi,31,946,6.85,L,L,3.00,5.00,2
oppose,opposemant,opposemant,TRUE,OPPOSEMANT,NW_S_SIMP,205,8,Simple,ment,Crepaldi,1,994,6.90,S,L,6.00,10.00,2
oppose,opposement,opposement,TRUE,OPPOSEMENT,NW_S_COMP,203,8,Complex,ment,Crepaldi,1,994,6.90,S,L,6.00,10.00,2
pass,passmant,passmant,TRUE,PASSMANT,NW_L_SIMP,206,14,Simple,ment,Crepaldi,43,10035,9.21,L,L,4.00,8.00,1
pass,passment,passment,TRUE,PASSMENT,NW_L_COMP,204,14,Complex,ment,Crepaldi,43,10035,9.21,L,L,4.00,8.00,1
pick,pickence,pickence,TRUE,PICKENCE,NW_L_COMP,204,5,Complex,ence,Crepaldi,20,3385,8.13,L,L,4.00,8.00,2
pick,pickenge,pickenge,TRUE,PICKENGE,NW_L_SIMP,206,5,Simple,ence,Crepaldi,20,3385,8.13,L,L,4.00,8.00,2
pill,pillime,pillime,TRUE,PILLIME,NW_S_SIMP,205,13,Simple,ize,Crepaldi,5,537,6.29,S,S,4.00,7.00,1
pill,pillize,pillize,TRUE,PILLIZE,NW_S_COMP,203,13,Complex,ize,Crepaldi,5,537,6.29,S,S,4.00,7.00,1
pitch,pitchody,pitchody,TRUE,PITCHODY,NW_L_SIMP,206,25,Simple,ory,RastleFiller,10,610,6.41,L,S,5.00,8.00,1
pitch,pitchory,pitchory,TRUE,PITCHORY,NW_L_COMP,204,25,Complex,ory,RastleFiller,10,610,6.41,L,S,5.00,8.00,1
poor,pooridy,pooridy,TRUE,POORIDY,NW_L_SIMP,206,13,Simple,ity,Crepaldi,11,4350,8.38,L,L,4.00,7.00,2
poor,poority,poority,TRUE,POORITY,NW_L_COMP,204,13,Complex,ity,Crepaldi,11,4350,8.38,L,L,4.00,7.00,2
pray,prayance,prayance,TRUE,PRAYANCE,NW_L_COMP,204,1,Complex,ance,Crepaldi,9,1055,6.96,L,L,4.00,8.00,2
pray,prayange,prayange,TRUE,PRAYANGE,NW_L_SIMP,206,1,Simple,ance,Crepaldi,9,1055,6.96,L,L,4.00,8.00,2
prince,princemant,princemant,TRUE,PRINCEMANT,NW_S_SIMP,205,17,Simple,ment,Graves,4,910,6.81,S,L,6.00,10.00,1
