SubjID,ART,Spelling,Vocabulary,Sex,z_ART,z_Vocabulary,z_Spelling,Dim.1,Dim.2,lang_type_ortho,lang_type_semantic
S127,17,66,32,Female,1.41773983106018,-1.58639952235844,0.342743122180153,0.050842533041002475,0.4308440218023154,High Orthographic,High Semantic
S128,16,70,43,Male,1.20934915709712,0.377574794066862,0.991032438551914,1.4549449576724014,0.4302102160712284,High Orthographic,High Semantic
S129,8,52,48,Female,-0.457776234607382,1.270290392442,-1.92626948512101,-0.3229184150859669,-2.039569444586277,Low Orthographic,Low Semantic
S131,3,61,31,Female,-1.49972960442269,-1.76494264203347,-0.467618523284549,-2.301832828216295,0.5870375842630081,High Orthographic,Low Semantic
S134,16,71,46,Female,1.20934915709712,0.913204153091944,1.15310476764485,1.8681858233046393,0.4004106863074501,High Orthographic,High Semantic
S135,8,76,41,Female,-0.457776234607382,0.0204885547168065,1.96346641310956,0.5731089207984191,1.90822946103559,High Orthographic,High Semantic
S136,10,67,34,Female,-0.040994886681258,-1.22931328300839,0.504815451273093,-0.5927474028661378,0.8768437268293156,High Orthographic,Low Semantic
S137,14,58,44,Male,0.792567809170991,0.556117913741889,-0.953835510563371,0.4521095086231449,-1.277048030218534,Low Orthographic,High Semantic
S138,12,61,44,Male,0.375786461244866,0.556117913741889,-0.467618523284549,0.39471415535734417,-0.7161418746381722,Low Orthographic,High Semantic
S139,14,70,40,Female,0.792567809170991,-0.158054564958221,0.991032438551914,0.84302347125338,0.7263640024655166,High Orthographic,High Semantic
S140,10,71,44,Female,-0.040994886681258,0.556117913741889,1.15310476764485,0.8318172384149835,0.8756959272666717,High Orthographic,High Semantic
S141,8,59,40,Female,-0.457776234607382,-0.158054564958221,-0.79176318147043,-0.7420152637538511,-0.536436520291917,Low Orthographic,Low Semantic
S142,11,60,49,Male,0.167395787281804,1.44883351211703,-0.62969085237749,0.7604069474427928,-1.0990044692664802,Low Orthographic,High Semantic
S143,6,55,30,Male,-0.874557582533507,-1.9434857617085,-1.44005249784219,-2.435903159582247,-0.416210413573689,Low Orthographic,Low Semantic
S144,13,62,45,Female,0.584177135207929,0.734661033416917,-0.305546194191609,0.7142178270153884,-0.687430238487273,Low Orthographic,High Semantic
S145,5,61,36,Female,-1.08294825649657,-0.872227043658331,-0.467618523284549,-1.4615125205494428,0.17283347837625015,High Orthographic,Low Semantic
S146,8,74,39,Female,-0.457776234607382,-0.336597684633249,1.63932175492368,0.20342483202960515,1.7317278815782078,High Orthographic,High Semantic
S147,7,75,37,Female,-0.666166908570445,-0.693683923983304,1.80139408401662,-0.08899298273137213,2.056593304123395,High Orthographic,Low Semantic
S150,9,61,46,Female,-0.24938556064432,0.913204153091944,-0.467618523284549,0.21912809478426262,-0.6555747333972659,Low Orthographic,High Semantic
S153,23,74,49,Female,2.66808387483855,1.44883351211703,1.63932175492368,3.3653433473733236,0.2483889804489796,High Orthographic,High Semantic
S155,12,58,41,Female,0.375786461244866,0.0204885547168065,-0.953835510563371,-0.15981197779587691,-0.9808942438242458,Low Orthographic,Low Semantic
S156,5,63,34,Male,-1.08294825649657,-1.22931328300839,-0.143473865098668,-1.548626074276291,0.5854356968185718,High Orthographic,Low Semantic
S157,8,60,37,Female,-0.457776234607382,-0.693683923983304,-0.62969085237749,-1.0139708618651062,-0.2120850915782866,Low Orthographic,Low Semantic
S158,5,54,33,Female,-1.08294825649657,-1.40785640268341,-1.60212482693513,-2.2986091887446296,-0.681022688709527,Low Orthographic,Low Semantic
S159,19,64,47,Female,1.8345211789863,1.09174727276697,0.0185984639942719,1.8918716794260277,-0.8681635804966427,Low Orthographic,High Semantic
S160,11,61,40,Female,0.167395787281804,-0.158054564958221,-0.467618523284549,-0.19674511441195558,-0.42050208207544093,Low Orthographic,Low Semantic
S163,16,58,44,Male,1.20934915709712,0.556117913741889,-0.953835510563371,0.7214327631704196,-1.3961263373741182,Low Orthographic,High Semantic
S167,8,54,33,Female,-0.457776234607382,-1.40785640268341,-1.60212482693513,-1.894624306923717,-0.8596401494429032,Low Orthographic,Low Semantic
S168,11,57,41,Female,0.167395787281804,0.0204885547168065,-1.11590783965631,-0.3651162388300059,-1.0686310397213798,Low Orthographic,Low Semantic
S169,10,66,44,Female,-0.040994886681258,0.556117913741889,0.342743122180153,0.4786040696125263,0.13931617989204154,High Orthographic,High Semantic
S170,10,66,42,Female,-0.040994886681258,0.199031674391834,0.342743122180153,0.2502052483646952,0.2573664993845111,High Orthographic,High Semantic
S171,4,63,48,Female,-1.29133893045963,1.270290392442,-0.143473865098668,-0.08449595281511103,-0.18137738605092363,Low Orthographic,Low Semantic
S172,11,62,40,Male,0.167395787281804,-0.158054564958221,-0.305546194191609,-0.1261024806514641,-0.27322613260051504,Low Orthographic,Low Semantic
S173,11,55,46,Female,0.167395787281804,0.913204153091944,-1.44005249784219,0.06459554676858888,-1.6583087374024057,Low Orthographic,High Semantic
S174,15,60,42,Female,1.00095848313405,0.199031674391834,-0.62969085237749,0.4996575821699343,-0.9239849653540044,Low Orthographic,High Semantic
S175,5,69,41,Male,-1.08294825649657,0.0204885547168065,0.828960109458974,-0.3253743973459336,1.055915275444484,High Orthographic,Low Semantic
S176,4,62,45,Female,-1.29133893045963,0.734661033416917,-0.305546194191609,-0.49773681844734907,-0.15157785628714524,Low Orthographic,Low Semantic
S177,18,72,47,Male,1.62613050502324,1.09174727276697,1.3151770967378,2.3223511222363213,0.36958316888055703,High Orthographic,High Semantic
