SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,word,Base,affix,Source,FS,BF,LogBF,FS_Split,BaseLength,WholeFormLength,famsize
S101,588,1,CW_L,202,17,STRIKER,AB_m21,striker,strike,er,Graves,17,3414,8.14,L,6,7,Large
S101,459,1,CW_L,202,18,PAINTER,AB_m21,painter,paint,er,RastleFiller,17,3666,8.21,L,5,7,Large
S101,592,1,CW_L,202,19,SHAMEFUL,AB_m21,shameful,shame,ful,FORD,13,993,6.9,L,5,8,Large
S101,481,1,CW_L,202,20,FAITHFUL,AB_m21,faithful,faith,ful,FORD,12,1320,7.19,L,5,8,Large
S101,527,1,CW_L,202,21,DOUBTFUL,AB_m21,doubtful,doubt,ful,FORD,8,4135,8.33,L,5,8,Large
S101,604,1,CW_L,202,22,FLEXIBLE,AB_m21,flexible,flex,ible,RastleFiller,16,664,6.5,L,4,8,Large
S101,635,1,CW_L,202,23,KICKING,AB_m21,kicking,kick,ing,RastleFiller,15,1012,6.92,L,4,7,Large
S101,810,1,CW_L,202,24,COOLING,AB_m21,cooling,cool,ing,RastleFiller,14,1434,7.27,L,4,7,Large
S101,525,1,CW_L,202,25,PARKING,AB_m21,parking,park,ing,RastleFiller,9,1945,7.57,L,4,7,Large
S101,509,1,CW_L,202,26,GUARDING,AB_m21,guarding,guard,ing,RastleFiller,28,2047,7.62,L,5,8,Large
S101,549,1,CW_L,202,27,LAUGHING,AB_m21,laughing,laugh,ing,RastleFiller,18,4181,8.34,L,5,8,Large
S101,996,0,CW_L,202,28,DAMPISH,AB_m21,dampish,damp,ish,FORD,11,621,6.43,L,4,7,Large
S101,513,1,CW_L,202,29,STYLISH,AB_m21,stylish,style,ish,XuTaft,16,2119,7.66,L,5,7,Large
S101,620,1,CW_L,202,30,JUMPING,AB_m21,jumping,jump,jumping,RastleFiller,15,1395,7.24,L,4,7,Large
S101,620,1,CW_L,202,31,GUILELESS,AB_m21,guileless,guile,less,Graves,9,61,4.11,L,5,9,Large
S101,563,1,CW_L,202,32,BOOTLESS,AB_m21,bootless,boot,less,Graves,19,940,6.85,L,4,8,Large
S101,609,1,CW_L,202,33,CLOUDLESS,AB_m21,cloudless,cloud,less,RastleFiller,14,1181,7.07,L,5,9,Large
S101,558,1,CW_L,202,34,BONELESS,AB_m21,boneless,bone,less,Graves,35,1490,7.31,L,4,8,Large
S101,619,1,CW_L,202,35,SHAPELY,AB_m21,shapely,shape,ly,XuTaft,12,1909,7.55,L,5,7,Large
S101,529,1,CW_L,202,36,QUIETLY,AB_m21,quietly,quiet,ly,Rastle,18,2691,7.9,L,5,7,Large
S101,583,1,CW_L,202,37,WRONGLY,AB_m21,wrongly,wrong,ly,FORD,12,3532,8.17,L,5,7,Large
S101,562,1,CW_L,202,38,EXCITEMENT,AB_m21,excitement,excite,ment,FORD,9,1924,7.56,L,6,10,Large
S101,598,1,CW_L,202,39,DEAFNESS,AB_m21,deafness,deaf,ness,FORD,9,290,5.67,L,4,8,Large
S101,605,1,CW_L,202,40,BLINDNESS,AB_m21,blindness,blind,ness,FORD,16,1024,6.93,L,5,9,Large
S101,925,1,CW_L,202,41,MADNESS,AB_m21,madness,mad,ness,FORD,10,1298,7.17,L,3,7,Large
S101,417,1,CW_L,202,42,DRYNESS,AB_m21,dryness,dry,ness,XuTaft,19,2366,7.77,L,3,7,Large
S101,628,1,CW_L,202,43,SAILOR,AB_m21,sailor,sail,or,RastleFiller,17,740,6.61,L,4,6,Large
S101,556,1,CW_L,202,44,CONDUCTOR,AB_m21,conductor,conduct,or,RastleFiller,16,1084,6.99,L,7,9,Large
S101,551,1,CW_L,202,45,EDITOR,AB_m21,editor,edit,or,RastleFiller,12,1298,7.17,L,4,6,Large
S101,411,1,CW_L,202,46,COLLECTOR,AB_m21,collector,collect,or,XuTaft,23,3221,8.08,L,7,9,Large
S101,717,1,CW_L,202,47,PROFESSOR,AB_m21,professor,profess,pr,RastleFiller,14,3563,8.18,L,7,9,Large
S101,463,1,CW_L,202,48,WEEDY,AB_m21,weedy,weed,y,Graves,17,729,6.59,L,4,5,Large
S101,562,1,CW_L,202,49,CREAMY,AB_m21,creamy,cream,y,RastleFiller,10,792,6.67,L,5,6,Large
S101,587,1,CW_L,202,50,VERBAL,AB_m21,verbal,verb,al,RastleFiller,22,423,6.05,L,4,6,Large
S103,753,1,CW_S,201,1,DETECTABLE,BA_m21,detectable,detect,able,XuTaft,7,982,6.89,S,6,10,Small
S103,613,1,CW_S,201,2,AVOIDABLE,BA_m21,avoidable,avoid,able,XuTaft,5,2172,7.68,S,5,9,Small
