SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,word,base,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,famsize
S101,759,0,NW_S_SIMP,205,11,DIGODY,AB_m21,digody,dig,Simple,ory,Crepaldi,3,777,6.66,S,L,3,6,2,Small
S101,719,1,NW_S_SIMP,205,12,WARNODY,AB_m21,warnody,warn,Simple,ory,Crepaldi,5,1697,7.44,S,L,4,7,2,Small
S101,616,1,NW_S_SIMP,205,13,BOLTOES,AB_m21,boltoes,bolt,Simple,ous,Crepaldi,6,348,5.85,S,S,4,7,2,Small
S101,776,1,NW_S_SIMP,205,14,HELMETOES,AB_m21,helmetoes,helmet,Simple,ous,Crepaldi,6,242,5.49,S,S,6,9,2,Small
S101,599,0,NW_S_SIMP,205,15,SCHEMENELS,AB_m21,schemenels,scheme,Simple,ness,Graves,3,1619,7.39,S,L,6,10,2,Small
S101,814,1,NW_S_SIMP,205,16,ACREMANT,AB_m21,acremant,acre,Simple,ment,Rastle,3,708,6.56,S,L,4,8,2,Small
S101,697,0,NW_S_SIMP,205,17,TILTADY,AB_m21,tiltady,tilt,Simple,ary,RastleFiller,3,328,5.79,S,S,4,7,2,Small
S101,994,0,NW_S_SIMP,205,18,MEDICALADY,AB_m21,medicalady,medical,Simple,ary,RastleFiller,3,1323,7.19,S,L,7,10,2,Small
S101,993,0,NW_S_SIMP,205,19,ZOOMFIL,AB_m21,zoomfil,zoom,Simple,ful,RastleFiller,2,34,3.53,S,S,4,7,2,Small
S101,875,1,NW_S_SIMP,205,20,YIELDILT,AB_m21,yieldilt,yield,Simple,ist,RastleFiller,4,613,6.42,S,S,5,8,2,Small
S101,935,1,NW_S_SIMP,205,21,WINKIDY,AB_m21,winkidy,wink,Simple,ity,RastleFiller,4,216,5.38,S,S,4,7,2,Small
S101,990,0,NW_S_SIMP,205,22,THRILLANGE,AB_m21,thrillange,thrill,Simple,ance,XuTaft,4,307,5.73,S,S,6,10,2,Small
S101,661,1,NW_S_SIMP,205,23,NULLITH,AB_m21,nullith,null,Simple,ish,XuTaft,4,45,3.81,S,S,4,7,2,Small
