Base,STRING,target,affix,Source,WrdFrq,Log10WF,LogLNWF,BF,Log10BF,LogLNBF,LogBF,FS,BaseLength,WholeFormLength,cond_trig,word_trig,targ_type,FS_Split,BF_Split
deaf,deafness,deafness,ness,FORD,2.08225,0.31853,0.73345,290,2.4624,5.66988,5.67,9,4,8,202,39,CW_L,Large,Low
edit,editor,editor,or,RastleFiller,27.5451,1.44004,3.31582,1298,3.11327,7.16858,7.17,12,4,6,202,45,CW_L,Large,Low
faith,faithful,faithful,ful,FORD,13.6238,1.1343,2.61182,1320,3.12057,7.18539,7.19,12,5,8,202,20,CW_L,Large,Low
flex,flexible,flexible,ible,RastleFiller,12.7909,1.1069,2.54873,664,2.82217,6.49828,6.5,16,4,8,202,22,CW_L,Large,Low
guile,guileless,guileless,less,Graves,0.416449,-0.38044,-0.87599,61,1.78533,4.11087,4.11,9,5,9,202,31,CW_L,Large,Low
jump,jumping,jumping,jumping,RastleFiller,17.6099,1.24576,2.86846,1395,3.14457,7.24065,7.24,15,4,7,202,30,CW_L,Large,Low
kick,kicking,kicking,ing,RastleFiller,13.7428,1.13808,2.62052,1012,3.00518,6.91968,6.92,15,4,7,202,23,CW_L,Large,Low
knock,knocker,knocker,er,RastleFiller,1.42783,0.15468,0.35616,1104,3.04297,7.0067,7.01,15,5,7,202,4,CW_L,Large,Low
mad,madness,madness,ness,FORD,13.2074,1.12082,2.58078,1298,3.11327,7.16858,7.17,10,3,7,202,41,CW_L,Large,Low
punch,puncher,puncher,er,RastleFiller,0.0594928,-1.22554,-2.8219,325,2.51188,5.78383,5.78,17,5,7,202,1,CW_L,Large,Low
sail,sailor,sailor,or,RastleFiller,5.88978,0.7701,1.77322,740,2.86923,6.60665,6.61,17,4,6,202,43,CW_L,Large,Low
shame,shameful,shameful,ful,FORD,5.59232,0.74759,1.72139,993,2.99695,6.90073,6.9,13,5,8,202,19,CW_L,Large,Low
spell,speller,speller,er,RastleFiller,0.0594928,-1.22554,-2.8219,781,2.89265,6.66058,6.66,10,5,7,202,3,CW_L,Large,Low
swim,swimmer,swimmer,er,FORD,2.37971,0.37652,0.86698,1145,3.05881,7.04316,7.04,11,4,7,202,5,CW_L,Large,Low
verb,verbal,verbal,al,RastleFiller,12.4935,1.09668,2.52521,423,2.62634,6.04737,6.05,22,4,6,202,50,CW_L,Large,Low
weed,weedy,weedy,y,Graves,1.18986,0.0755,0.17384,729,2.86273,6.59167,6.59,17,4,5,202,48,CW_L,Large,Low
amaze,amazement,amazement,ment,FORD,10.5897,1.02488,2.35988,878,2.94349,6.77765,6.78,4,5,9,201,39,CW_S,Small,Low
amuse,amusement,amusement,ment,FORD,10.5897,1.02488,2.35988,857,2.93298,6.75344,6.75,3,5,9,201,38,CW_S,Small,Low
angel,angelic,angelic,ic,Rastle,2.08225,0.31853,0.73345,567,2.75358,6.34036,6.34,7,5,7,201,25,CW_S,Small,Low
beard,bearded,bearded,ed,Rastle,7.31761,0.86437,1.99028,578,2.76193,6.35957,6.36,7,5,7,201,8,CW_S,Small,Low
bold,boldness,boldness,ness,RastleFiller,1.84428,0.26583,0.61209,379,2.57864,5.93754,5.94,7,4,8,201,41,CW_S,Small,Low
boss,bossy,bossy,y,Graves,1.90377,0.27961,0.64384,551,2.74115,6.31173,6.31,6,4,5,201,49,CW_S,Small,Low
chill,chilly,chilly,y,RastleFiller,5.47333,0.73825,1.69989,488,2.68842,6.19032,6.19,7,5,6,201,48,CW_S,Small,Low
dense,densely,densely,ly,FORD,2.55819,0.40793,0.9393,655,2.81624,6.48464,6.48,7,5,7,201,32,CW_S,Small,Low
detect,detectable,detectable,able,XuTaft,1.6063,0.20583,0.47393,982,2.99211,6.88959,6.89,7,6,10,201,1,CW_S,Small,Low
diet,dietary,dietary,ary,Rastle,6.06826,0.78306,1.80307,1181,3.07225,7.07412,7.07,6,4,7,201,6,CW_S,Small,Low
dull,dullness,dullness,ness,XuTaft,1.42783,0.15468,0.35616,703,2.84696,6.55536,6.56,5,4,8,201,43,CW_S,Small,Low
grim,grimly,grimly,ly,FORD,7.43659,0.87137,2.00641,552,2.74194,6.31355,6.31,6,4,6,201,31,CW_S,Small,Low
harm,harmless,harmless,less,FORD,14.3378,1.15648,2.6629,1101,3.04179,7.00397,7,7,4,8,201,29,CW_S,Small,Low
jail,jailer,jailer,er,RastleFiller,1.30884,0.11689,0.26914,678,2.83123,6.51915,6.52,5,4,6,201,13,CW_S,Small,Low
lend,lender,lender,er,FORD,0.416449,-0.38044,-0.87599,505,2.70329,6.22456,6.22,3,4,6,201,11,CW_S,Small,Low
magic,magical,magical,al,RastleFiller,13.3264,1.12471,2.58975,1014,3.00604,6.92166,6.92,5,5,7,201,4,CW_S,Small,Low
mild,mildness,mildness,ness,FORD,0.832899,-0.07941,-0.18284,676,2.82995,6.51619,6.52,4,4,8,201,42,CW_S,Small,Low
moss,mossy,mossy,y,Graves,0.713913,-0.14635,-0.33699,149,2.17319,5.00395,5,3,4,5,201,47,CW_S,Small,Low
neat,neatly,neatly,ly,FORD,21.7149,1.33676,3.078,924,2.96567,6.82871,6.83,3,4,6,201,33,CW_S,Small,Low
peak,peaking,peaking,ing,RastleFiller,0.178478,-0.74842,-1.72329,546,2.73719,6.30262,6.3,6,4,7,201,28,CW_S,Small,Low
raid,raider,raider,er,RastleFiller,1.24935,0.09668,0.22262,505,2.70329,6.22456,6.22,4,4,6,201,12,CW_S,Small,Low
thrust,thruster,thruster,er,Graves,0.178478,-0.74842,-1.72329,584,2.76641,6.3699,6.37,4,6,8,201,24,CW_S,Small,Low
toast,toaster,toaster,er,Rastle,0.65442,-0.18414,-0.42401,339,2.5302,5.826,5.83,6,5,7,201,10,CW_S,Small,Low
toss,tossing,tossing,ing,RastleFiller,4.99739,0.69874,1.60892,407,2.60959,6.00881,6.01,5,4,7,201,26,CW_S,Small,Low
tutor,tutoring,tutoring,ing,RastleFiller,0.237971,-0.62348,-1.43561,499,2.6981,6.21261,6.21,5,5,8,201,27,CW_S,Small,Low
widow,widowed,widowed,ed,RastleFiller,3.2721,0.51483,1.18543,499,2.6981,6.21261,6.21,5,5,7,201,7,CW_S,Small,Low
