subject_nr,counter,cond_trig,word_trig,targ_type,target,correct,response_time
S201,105,207,1,FILL_W,FLIRT,1,654
S201,106,207,13,FILL_W,WRECK,1,592
S201,107,201,34,CW_S,GUILTY,1,580
S201,108,203,22,NW_S_COMP,DEBTISH,1,1150
S201,109,203,4,NW_S_COMP,FIGER,1,792
S201,110,202,26,CW_L,GUARDING,1,831
S201,111,208,4,FILL_NW,BROUPS,1,719
S201,112,201,32,CW_S,DENSELY,1,913
S201,113,205,22,NW_S_SIMP,THRILLANGE,1,1035
S201,114,202,46,CW_L,COLLECTOR,1,658
S201,115,205,17,NW_S_SIMP,TILTADY,1,857
S201,116,206,5,NW_L_SIMP,PICKENGE,1,720
S201,117,203,25,NW_S_COMP,HUMIDOUS,0,1221
S201,118,206,22,NW_L_SIMP,CRITICANGE,0,1221
S201,119,207,34,FILL_W,TASTE,1,721
S201,120,201,4,CW_S,MAGICAL,1,658
S201,121,208,33,FILL_NW,KRAISE,1,697
S201,122,207,5,FILL_W,BLEAK,1,695
S201,123,207,27,FILL_W,STALK,1,638
S201,124,208,3,FILL_NW,BLANTH,1,800
S201,125,201,43,CW_S,DULLNESS,1,1023
S201,126,206,9,NW_L_SIMP,WIGITH,1,762
S201,127,207,4,FILL_W,BLUNT,1,688
S201,128,203,20,NW_S_COMP,EJECTENCE,1,1090
S201,129,207,49,FILL_W,SUIT,1,714
S201,130,201,18,CW_S,LISTENER,1,589
S201,131,208,15,FILL_NW,DOADS,1,727
S201,132,207,14,FILL_W,GLOOM,1,656
S201,133,207,46,FILL_W,SAVE,1,618
S201,134,201,12,CW_S,RAIDER,1,1139
S201,135,201,48,CW_S,CHILLY,1,657
S201,136,205,2,NW_S_SIMP,GUMFIL,1,792
S201,137,208,39,FILL_NW,PORDS,1,780
S201,138,204,16,NW_L_COMP,FLIPORY,1,749
S201,139,207,20,FILL_W,CRUNCH,1,570
S201,140,202,20,CW_L,FAITHFUL,1,548
S201,141,206,19,NW_L_SIMP,SMOOTHFIL,1,885
S201,142,202,8,CW_L,LOCKER,1,605
S201,143,204,13,NW_L_COMP,ADDMENT,1,1053
S201,144,201,25,CW_S,ANGELIC,1,710
S201,145,207,21,FILL_W,QUIT,1,576
S201,146,202,12,CW_L,DREAMER,1,658
S201,147,204,5,NW_L_COMP,SHEETER,1,1019
S201,148,202,50,CW_L,VERBAL,1,657
S201,149,208,12,FILL_NW,DASK,1,951
S201,150,207,6,FILL_W,SLIM,1,653
S201,151,202,1,CW_L,PUNCHER,1,739
S201,152,204,18,NW_L_COMP,BOILOUS,0,742
S201,153,208,10,FILL_NW,DARF,1,635
S201,154,201,35,CW_S,HUGELY,0,919
S201,155,206,15,NW_L_SIMP,TOWERLA,1,627
S201,156,202,9,CW_L,RENTER,1,554
S201,157,202,2,CW_L,BARKER,0,847
S201,158,207,8,FILL_W,BRISK,1,593
S201,159,206,8,NW_L_SIMP,BEANITH,1,755
S201,160,201,15,CW_S,CAMPAIGNER,0,826
S201,161,202,17,CW_L,STRIKER,1,619
S201,162,201,17,CW_S,SINGER,1,543
S201,163,201,13,CW_S,JAILER,1,831
S201,164,206,16,NW_L_SIMP,SHOOTMANT,1,885
S201,165,208,34,FILL_NW,LOLDS,1,663
S201,166,203,2,NW_S_COMP,HAPPENANCE,1,902
S201,167,201,31,CW_S,GRIMLY,1,685
S201,168,203,16,NW_S_COMP,BRANCHER,0,1220
S201,169,204,21,NW_L_COMP,EMPLOYNESS,0,1220
S201,170,201,29,CW_S,HARMLESS,1,713
S201,171,207,2,FILL_W,WEIRD,1,510
S201,172,202,14,CW_L,FEEDER,1,795
S201,173,205,7,NW_S_SIMP,JAWLA,1,769
S201,174,202,47,CW_L,PROFESSOR,1,653
S201,175,205,16,NW_S_SIMP,ACREMANT,1,798
S201,176,204,25,NW_L_COMP,PITCHORY,1,626
S201,177,202,44,CW_L,CONDUCTOR,1,776
S201,178,204,20,NW_L_COMP,NORTHIZE,1,769
S201,179,207,9,FILL_W,LEAK,1,606
S201,180,207,37,FILL_W,SHIP,1,602
S201,181,207,36,FILL_W,SICK,1,765
S201,182,205,19,NW_S_SIMP,ZOOMFIL,1,817
S201,183,202,35,CW_L,SHAPELY,1,1088
S201,184,207,40,FILL_W,SOUGHT,1,647
S201,185,208,36,FILL_NW,PIFTH,1,813
S201,186,204,2,NW_L_COMP,TRIPARY,1,813
S201,187,207,7,FILL_W,PREACH,1,599
S201,188,208,26,FILL_NW,HEAS,1,731
S201,189,203,5,NW_S_COMP,BEERER,0,1221
S201,190,201,36,CW_S,COSTLY,1,587
S201,191,208,25,FILL_NW,GILN,1,782
S201,192,202,19,CW_L,SHAMEFUL,1,613
S201,193,201,46,CW_S,STRANGENESS,1,853
S201,194,204,19,NW_L_COMP,KINGISM,1,932
S201,195,204,11,NW_L_COMP,MOUTHIZE,1,1093
S201,196,201,10,CW_S,TOASTER,1,715
S201,197,205,20,NW_S_SIMP,YIELDILT,1,937
S201,198,208,27,FILL_NW,HEEM,1,691
S201,199,206,24,NW_L_SIMP,BLOODEL,1,673
S201,200,201,9,CW_S,INSISTENT,0,1221
S201,201,206,10,NW_L_SIMP,ELBOWILM,1,728
S201,202,201,7,CW_S,WIDOWED,1,917
S201,203,205,5,NW_S_SIMP,URNILT,1,744
S201,204,208,32,FILL_NW,KEMT,1,867
S201,205,201,50,CW_S,RISKY,1,549
S201,206,208,17,FILL_NW,DROES,1,730
S201,207,208,19,FILL_NW,FALONS,0,938
S201,208,201,23,CW_S,TEACHER,1,660
S201,209,208,41,FILL_NW,SCURE,1,992
S201,210,206,6,NW_L_SIMP,TAXFIL,1,1088
S201,211,201,2,CW_S,AVOIDABLE,1,672
S201,212,203,13,NW_S_COMP,PILLIZE,1,798
S201,213,202,15,CW_L,CLEANER,1,1144
S201,214,208,24,FILL_NW,GIKE,1,634
S201,215,207,31,FILL_W,FAINT,1,768
S201,216,202,41,CW_L,MADNESS,1,1020
S201,217,202,36,CW_L,QUIETLY,1,994
S201,218,208,14,FILL_NW,DELP,1,727
S201,219,206,12,NW_L_SIMP,EARILT,1,828
S201,220,201,45,CW_S,RICHNESS,1,759
S201,221,201,3,CW_S,NOTICEABLE,1,1000
S201,222,203,3,NW_S_COMP,LIDARY,1,736
S201,223,202,25,CW_L,PARKING,0,1222
S201,224,208,42,FILL_NW,SMADE,1,883
S201,225,202,5,CW_L,SWIMMER,1,834
S201,226,202,34,CW_L,BONELESS,0,1222
S201,227,205,6,NW_S_SIMP,RAMPIME,1,1030
S201,228,205,24,NW_S_SIMP,FEVERIME,1,1103
S201,229,208,5,FILL_NW,BUTE,1,893
S201,230,201,40,CW_S,ENJOYMENT,1,799
S201,231,208,8,FILL_NW,BLAYS,1,760
S201,232,205,12,NW_S_SIMP,WARNODY,1,568
S201,233,205,11,NW_S_SIMP,DIGODY,1,580
S201,234,205,9,NW_S_SIMP,NEXTNELS,1,587
S201,235,208,31,FILL_NW,JADS,1,537
S201,236,207,11,FILL_W,CHIP,0,553
S201,237,208,20,FILL_NW,TREMP,1,786
S201,238,203,11,NW_S_COMP,CURTITY,1,789
S201,239,207,48,FILL_W,TREAT,1,609
S201,240,207,29,FILL_W,BAKE,1,625
S201,241,207,35,FILL_W,LEGAL,1,524
S201,242,202,6,CW_L,COMPOSER,1,679
S201,243,206,21,NW_L_SIMP,DRESSODY,1,890
S201,244,205,23,NW_S_SIMP,NULLITH,1,803
S201,245,202,42,CW_L,DRYNESS,1,736
S201,246,208,6,FILL_NW,CINDS,1,738
S201,247,204,15,NW_L_COMP,FREENESS,0,1222
S201,248,203,23,NW_S_COMP,YANKORY,1,734
S201,249,202,16,CW_L,HEATER,1,648
S201,250,207,3,FILL_W,BALD,1,579
S201,251,202,33,CW_L,CLOUDLESS,1,631
S201,252,205,15,NW_S_SIMP,SCHEMENELS,1,703
S201,253,201,21,CW_S,BUYER,1,673
S201,254,204,9,NW_L_COMP,ILLIST,0,1222
S201,255,205,10,NW_S_SIMP,BASKODY,1,874
S201,256,207,30,FILL_W,FLOAT,1,709
S201,257,208,44,FILL_NW,TUEER,1,709
S201,258,208,11,FILL_NW,DARM,1,998
S201,259,208,47,FILL_NW,VOGS,1,975
S201,260,202,30,CW_L,JUMPING,1,566
S201,261,208,45,FILL_NW,ULNS,1,618
S201,262,203,10,NW_S_COMP,ELMIST,1,707
S201,263,208,23,FILL_NW,GAIRS,1,607
S201,264,208,49,FILL_NW,VUNKS,1,682
S201,265,201,11,CW_S,LENDER,0,863
S201,266,201,1,CW_S,DETECTABLE,1,919
S201,267,201,20,CW_S,ATTACKER,1,547
S201,268,201,41,CW_S,BOLDNESS,1,616
S201,269,208,48,FILL_NW,VOOFS,1,710
S201,270,207,22,FILL_W,SPLICE,1,921
S201,271,203,1,NW_S_COMP,MELTANCE,0,1222
S201,272,202,37,CW_L,WRONGLY,1,799
S201,273,201,28,CW_S,PEAKING,1,705
S201,274,207,15,FILL_W,STARVE,1,614
S201,275,207,18,FILL_W,CEASE,1,805
S201,276,201,39,CW_S,AMAZEMENT,1,676
S201,277,201,27,CW_S,TUTORING,1,491
S201,278,206,2,NW_L_SIMP,BOGADY,1,1162
S201,279,204,1,NW_L_COMP,STIRANCE,0,1222
S201,280,201,22,CW_S,PLANNER,1,539
S201,281,208,7,FILL_NW,CORG,1,992
S201,282,206,4,NW_L_SIMP,BEGENGE,1,914
S201,283,208,40,FILL_NW,PUCTS,1,635
S201,284,204,14,NW_L_COMP,PASSMENT,1,827
S201,285,202,11,CW_L,DANCER,1,637
S201,286,207,47,FILL_W,TEST,1,554
S201,287,203,17,NW_S_COMP,PRINCEMENT,1,1113
S201,288,203,15,NW_S_COMP,TRUENESS,0,968
S201,289,204,22,NW_L_COMP,BINDIC,1,872
S201,290,208,1,FILL_NW,BAFED,1,829
S201,291,203,6,NW_S_COMP,FANFUL,1,1031
S201,292,205,8,NW_S_SIMP,OPPOSEMANT,1,788
S201,293,203,12,NW_S_COMP,DUMBITY,1,703
S201,294,204,8,NW_L_COMP,INKISM,1,705
S201,295,203,7,NW_S_COMP,ALTARIC,1,706
S201,296,207,26,FILL_W,MOURN,0,814
S201,297,206,14,NW_L_SIMP,NUTLA,1,777
S201,298,201,24,CW_S,THRUSTER,0,1051
S201,299,205,14,NW_S_SIMP,HELMETOES,1,807
S201,300,206,18,NW_L_SIMP,CLASSOES,1,729
S202,1,207,20,FILL_W,CRUNCH,0,1221
S202,2,205,1,NW_S_SIMP,SOCKETEL,1,956
S202,3,205,11,NW_S_SIMP,DIGODY,1,1197
S202,4,201,4,CW_S,MAGICAL,1,634
S202,5,207,6,FILL_W,SLIM,1,702
S202,6,206,17,NW_L_SIMP,LONGNELS,1,1191
S202,7,202,49,CW_L,CREAMY,1,897
S202,8,205,8,NW_S_SIMP,OPPOSEMANT,1,864
S202,9,201,17,CW_S,SINGER,1,764
S202,10,208,32,FILL_NW,KEMT,1,795
S202,11,206,8,NW_L_SIMP,BEANITH,0,1221
S202,12,202,17,CW_L,STRIKER,1,809
S202,13,207,17,FILL_W,FOLLOW,1,665
S202,14,208,5,FILL_NW,BUTE,1,667
S202,15,207,31,FILL_W,FAINT,1,716
S202,16,202,35,CW_L,SHAPELY,1,648
S202,17,201,50,CW_S,RISKY,1,543
S202,18,207,30,FILL_W,FLOAT,1,496
S202,19,208,25,FILL_NW,GILN,1,665
S202,20,201,10,CW_S,TOASTER,1,498
S202,21,208,41,FILL_NW,SCURE,1,770
S202,22,207,26,FILL_W,MOURN,1,566
S202,23,205,7,NW_S_SIMP,JAWLA,1,661
S202,24,203,22,NW_S_COMP,DEBTISH,1,729
S202,25,202,7,CW_L,BOMBER,1,550
S202,26,202,14,CW_L,FEEDER,1,694
S202,27,202,45,CW_L,EDITOR,1,565
S202,28,202,8,CW_L,LOCKER,1,467
S202,29,203,16,NW_S_COMP,BRANCHER,1,727
S202,30,208,18,FILL_NW,DULKS,1,691
S202,31,201,36,CW_S,COSTLY,1,516
S202,32,207,9,FILL_W,LEAK,1,468
S202,33,201,49,CW_S,BOSSY,1,578
S202,34,203,20,NW_S_COMP,EJECTENCE,1,687
S202,35,201,35,CW_S,HUGELY,0,1093
S202,36,202,40,CW_L,BLINDNESS,1,575
S202,37,207,5,FILL_W,BLEAK,1,550
S202,38,207,27,FILL_W,STALK,1,503
S202,39,202,16,CW_L,HEATER,1,583
S202,40,202,15,CW_L,CLEANER,1,495
S202,41,202,50,CW_L,VERBAL,1,468
S202,42,204,21,NW_L_COMP,EMPLOYNESS,1,630
S202,43,208,40,FILL_NW,PUCTS,1,681
S202,44,205,6,NW_S_SIMP,RAMPIME,1,659
S202,45,203,9,NW_S_COMP,ARIDISM,1,606
S202,46,205,16,NW_S_SIMP,ACREMANT,1,592
S202,47,203,24,NW_S_COMP,FIENDISM,1,984
S202,48,203,15,NW_S_COMP,TRUENESS,0,1220
S202,49,201,16,CW_S,SEEKER,1,540
S202,50,208,9,FILL_NW,BUWL,1,836
S202,51,204,12,NW_L_COMP,MUDLY,1,653
S202,52,207,7,FILL_W,PREACH,1,519
S202,53,206,25,NW_L_SIMP,BEARILT,1,715
S202,54,205,13,NW_S_SIMP,BOLTOES,1,638
S202,55,207,48,FILL_W,TREAT,1,507
S202,56,202,12,CW_L,DREAMER,1,696
S202,57,207,38,FILL_W,COOK,1,469
S202,58,208,13,FILL_NW,DASP,1,746
S202,59,203,17,NW_S_COMP,PRINCEMENT,1,930
S202,60,208,17,FILL_NW,DROES,1,639
S202,61,208,6,FILL_NW,CINDS,1,610
S202,62,204,15,NW_L_COMP,FREENESS,1,573
S202,63,204,24,NW_L_COMP,AGREELY,1,530
S202,64,206,9,NW_L_SIMP,WIGITH,1,548
S202,65,208,37,FILL_NW,PLAODS,1,483
S202,66,202,26,CW_L,GUARDING,1,634
S202,67,202,2,CW_L,BARKER,1,706
S202,68,201,43,CW_S,DULLNESS,1,786
S202,69,201,12,CW_S,RAIDER,1,598
S202,70,208,39,FILL_NW,PORDS,1,647
S202,71,201,41,CW_S,BOLDNESS,1,660
S202,72,202,43,CW_L,SAILOR,1,546
S202,73,203,4,NW_S_COMP,FIGER,1,737
S202,74,208,43,FILL_NW,SOISE,1,720
S202,75,206,14,NW_L_SIMP,NUTLA,1,1053
S202,76,206,5,NW_L_SIMP,PICKENGE,0,1221
S202,77,202,19,CW_L,SHAMEFUL,0,612
S202,78,208,22,FILL_NW,FROT,1,737
S202,79,202,24,CW_L,COOLING,1,466
S202,80,204,5,NW_L_COMP,SHEETER,1,628
S202,81,202,30,CW_L,JUMPING,1,526
S202,82,203,13,NW_S_COMP,PILLIZE,0,1220
S202,83,202,22,CW_L,FLEXIBLE,1,522
S202,84,201,40,CW_S,ENJOYMENT,1,522
S202,85,208,46,FILL_NW,VELT,1,692
S202,86,207,13,FILL_W,WRECK,1,487
S202,87,203,3,NW_S_COMP,LIDARY,1,609
S202,88,201,27,CW_S,TUTORING,1,439
S202,89,205,9,NW_S_SIMP,NEXTNELS,1,881
S202,90,201,47,CW_S,MOSSY,1,567
S202,91,202,20,CW_L,FAITHFUL,1,540
S202,92,206,24,NW_L_SIMP,BLOODEL,1,1045
S202,93,207,47,FILL_W,TEST,1,485
S202,94,203,1,NW_S_COMP,MELTANCE,1,638
S202,95,204,1,NW_L_COMP,STIRANCE,1,656
S202,96,201,29,CW_S,HARMLESS,1,550
S202,97,201,38,CW_S,AMUSEMENT,1,653
S202,98,207,32,FILL_W,FLESH,1,660
S202,99,208,11,FILL_NW,DARM,1,726
S202,100,202,38,CW_L,EXCITEMENT,1,429
S202,101,201,11,CW_S,LENDER,1,789
S202,102,206,12,NW_L_SIMP,EARILT,1,866
S202,103,201,20,CW_S,ATTACKER,1,566
S202,104,201,21,CW_S,BUYER,1,833
S202,105,207,12,FILL_W,WEAVE,1,696
S202,106,202,13,CW_L,PUSHER,1,740
S202,107,201,2,CW_S,AVOIDABLE,1,743
S202,108,203,21,NW_S_COMP,WELDIC,1,556
S202,109,201,42,CW_S,MILDNESS,1,1161
S202,110,201,13,CW_S,JAILER,1,599
S202,111,201,23,CW_S,TEACHER,1,633
S202,112,203,7,NW_S_COMP,ALTARIC,1,610
S202,113,201,31,CW_S,GRIMLY,0,1221
S202,114,203,14,NW_S_COMP,TREASONIZE,1,707
S202,115,208,35,FILL_NW,PHEEKS,1,758
S202,116,203,10,NW_S_COMP,ELMIST,1,574
S202,117,207,41,FILL_W,PACK,1,601
S202,118,205,25,NW_S_SIMP,ADVERTISELA,0,685
S202,119,202,34,CW_L,BONELESS,1,568
S202,120,201,5,CW_S,ALLOWANCE,1,519
S202,121,202,11,CW_L,DANCER,1,489
S202,122,204,25,NW_L_COMP,PITCHORY,1,718
S202,123,201,24,CW_S,THRUSTER,0,1220
S202,124,203,19,NW_S_COMP,ADOPTISH,1,780
S202,125,205,2,NW_S_SIMP,GUMFIL,1,800
S202,126,207,3,FILL_W,BALD,1,835
S202,127,208,28,FILL_NW,HEND,1,703
S202,128,206,20,NW_L_SIMP,GROWILT,1,787
S202,129,202,48,CW_L,WEEDY,1,804
S202,130,206,21,NW_L_SIMP,DRESSODY,1,670
S202,131,204,19,NW_L_COMP,KINGISM,1,632
S202,132,207,10,FILL_W,BRASS,1,682
S202,133,208,10,FILL_NW,DARF,1,661
S202,134,205,3,NW_S_SIMP,HEIRIG,1,652
S202,135,201,9,CW_S,INSISTENT,1,922
S202,136,202,29,CW_L,STYLISH,1,646
S202,137,206,19,NW_L_SIMP,SMOOTHFIL,0,567
S202,138,204,7,NW_L_COMP,ANGELISH,1,776
S202,139,207,2,FILL_W,WEIRD,1,571
S202,140,202,42,CW_L,DRYNESS,0,1221
S202,141,201,19,CW_S,DESIGN,1,643
S202,142,204,4,NW_L_COMP,RIPENCE,1,648
S202,143,208,50,FILL_NW,BORMS,1,800
S202,144,202,21,CW_L,DOUBTFUL,1,589
S202,145,203,25,NW_S_COMP,HUMIDOUS,1,641
S202,146,203,11,NW_S_COMP,CURTITY,1,615
S202,147,206,4,NW_L_SIMP,BEGENGE,1,855
S202,148,208,30,FILL_NW,HOITS,1,596
S202,149,202,28,CW_L,DAMPISH,0,1053
S202,150,205,24,NW_S_SIMP,FEVERIME,1,977
S202,151,204,13,NW_L_COMP,ADDMENT,0,1221
S202,152,207,14,FILL_W,GLOOM,1,569
S202,153,201,14,CW_S,DESTROYER,1,564
S202,154,207,18,FILL_W,CEASE,1,778
S202,155,205,23,NW_S_SIMP,NULLITH,0,951
S202,156,201,18,CW_S,LISTENER,1,587
S202,157,206,15,NW_L_SIMP,TOWERLA,1,825
S202,158,201,37,CW_S,LOCALLY,1,626
S202,159,202,37,CW_L,WRONGLY,1,492
S202,160,202,39,CW_L,DEAFNESS,1,973
S202,161,204,11,NW_L_COMP,MOUTHIZE,1,1108
S202,162,202,10,CW_L,HUNTER,1,570
S202,163,207,33,FILL_W,IRON,1,478
S202,164,206,3,NW_L_SIMP,BANDADY,1,769
S202,165,202,1,CW_L,PUNCHER,1,557
S202,166,205,5,NW_S_SIMP,URNILT,1,835
S202,167,208,29,FILL_NW,HESK,1,695
S202,168,207,15,FILL_W,STARVE,1,566
S202,169,208,23,FILL_NW,GAIRS,1,706
S202,170,207,1,FILL_W,FLIRT,1,556
S202,171,201,44,CW_S,AWARENESS,1,575
S202,172,208,26,FILL_NW,HEAS,1,682
S202,173,202,18,CW_L,PAINTER,1,550
S202,174,201,3,CW_S,NOTICEABLE,1,587
S202,175,207,21,FILL_W,QUIT,1,476
S202,176,201,8,CW_S,BEARDED,1,802
S202,177,208,4,FILL_NW,BROUPS,1,662
S202,178,206,13,NW_L_SIMP,POORIDY,1,1203
S202,179,203,8,NW_S_COMP,ANTISM,1,602
S202,180,207,42,FILL_W,BOX,1,524
S202,181,204,23,NW_L_COMP,BREAKITY,1,634
S202,182,204,17,NW_L_COMP,FELLOWOUS,1,629
S202,183,206,7,NW_L_SIMP,HABITIG,1,608
S202,184,207,11,FILL_W,CHIP,1,499
S202,185,201,15,CW_S,CAMPAIGNER,1,977
S202,186,201,34,CW_S,GUILTY,1,551
S202,187,205,15,NW_S_SIMP,SCHEMENELS,1,628
S202,188,207,49,FILL_W,SUIT,1,637
S202,189,204,8,NW_L_COMP,INKISM,1,585
S202,190,201,45,CW_S,RICHNESS,1,593
S202,191,203,6,NW_S_COMP,FANFUL,1,718
S202,192,206,16,NW_L_SIMP,SHOOTMANT,1,662
S202,193,205,10,NW_S_SIMP,BASKODY,1,668
S202,194,208,1,FILL_NW,BAFED,1,610
S202,195,201,1,CW_S,DETECTABLE,1,818
S202,196,206,1,NW_L_SIMP,PRAYANGE,1,559
S202,197,207,44,FILL_W,OLD,1,480
S202,198,208,24,FILL_NW,GIKE,1,578
S202,199,206,22,NW_L_SIMP,CRITICANGE,1,713
S202,200,205,19,NW_S_SIMP,ZOOMFIL,0,575
S202,201,202,32,CW_L,BOOTLESS,1,858
S202,202,207,16,FILL_W,STEEP,1,867
S202,203,201,22,CW_S,PLANNER,1,824
S202,204,202,3,CW_L,SPELLER,1,909
S202,205,206,6,NW_L_SIMP,TAXFIL,1,645
S202,206,202,25,CW_L,PARKING,1,641
S202,207,204,18,NW_L_COMP,BOILOUS,0,530
S202,208,206,23,NW_L_SIMP,VALIDEL,1,855
S202,209,208,38,FILL_NW,POLT,1,725
S202,210,203,5,NW_S_COMP,BEERER,1,792
S202,211,203,2,NW_S_COMP,HAPPENANCE,1,753
S202,212,206,11,NW_L_SIMP,WITCHITH,1,840
S202,213,202,36,CW_L,QUIETLY,1,632
S202,214,207,37,FILL_W,SHIP,1,637
S202,215,203,18,NW_S_COMP,HEIGHTENCE,1,863
S202,216,202,9,CW_L,RENTER,1,679
S202,217,202,31,CW_L,GUILELESS,0,789
S202,218,206,18,NW_L_SIMP,CLASSOES,1,754
S202,219,207,45,FILL_W,TAX,1,502
S202,220,207,50,FILL_W,SMOKE,1,467
S202,221,208,42,FILL_NW,SMADE,1,646
S202,222,205,12,NW_S_SIMP,WARNODY,1,763
S202,223,207,29,FILL_W,BAKE,1,479
S202,224,205,4,NW_S_SIMP,AIDIG,1,588
S202,225,208,16,FILL_NW,DOWED,0,845
S202,226,208,15,FILL_NW,DOADS,0,1222
