cond_trig,word_trig,targ_type,target
205,17,NW_S_SIMP,tiltary
205,18,NW_S_SIMP,medicalary
205,19,NW_S_SIMP,zoomful
205,20,NW_S_SIMP,yieldist
205,21,NW_S_SIMP,winkity
205,22,NW_S_SIMP,thrillance
205,23,NW_S_SIMP,nullish
205,24,NW_S_SIMP,feverize
205,25,NW_S_SIMP,advertisely
206,1,NW_L_SIMP,prayance
206,2,NW_L_SIMP,bogary
206,3,NW_L_SIMP,bandary
206,4,NW_L_SIMP,begence
206,5,NW_L_SIMP,pickence
206,6,NW_L_SIMP,taxful
206,7,NW_L_SIMP,habitic
206,8,NW_L_SIMP,beanish
206,9,NW_L_SIMP,wigish
