SubjID,ART,Spelling,Vocabulary,Sex,z_ART,z_Vocabulary,z_Spelling,Dim.1,lang_type_semantic,Dim.2,lang_type_ortho
S122,3,61,31,Female,-1.49972960442269,-1.76494264203347,-0.467618523284549,-2.301832828216300,Low Semantic,0.5870375842630080,High Orthographic
S123,11,68,48,Female,0.167395787281804,1.270290392442,0.666887780366034,1.2113486069028100,High Semantic,0.1382282862791620,High Orthographic
S124,17,64,48,Female,1.41773983106018,1.270290392442,0.0185984639942719,1.7367478355026700,High Semantic,-0.8081104330872940,Low Orthographic
S125,15,71,48,Female,1.00095848313405,1.270290392442,1.15310476764485,1.9619230172788300,High Semantic,0.3418995203927720,High Orthographic
S127,17,66,32,Female,1.41773983106018,-1.58639952235844,0.342743122180153,0.050842533041002500,High Semantic,0.4308440218023150,High Orthographic
S128,16,70,43,Male,1.20934915709712,0.377574794066862,0.991032438551914,1.4549449576724000,High Semantic,0.4302102160712280,High Orthographic
S129,8,52,48,Female,-0.457776234607382,1.270290392442,-1.92626948512101,-0.3229184150859670,Low Semantic,-2.039569444586280,Low Orthographic
S131,3,61,31,Female,-1.49972960442269,-1.76494264203347,-0.467618523284549,-2.301832828216300,Low Semantic,0.5870375842630080,High Orthographic
S134,16,71,46,Female,1.20934915709712,0.913204153091944,1.15310476764485,1.8681858233046400,High Semantic,0.4004106863074500,High Orthographic
S135,8,76,41,Female,-0.457776234607382,0.0204885547168065,1.96346641310956,0.5731089207984190,High Semantic,1.90822946103559,High Orthographic
S136,10,67,34,Female,-0.040994886681258,-1.22931328300839,0.504815451273093,-0.5927474028661380,Low Semantic,0.8768437268293160,High Orthographic
S137,14,58,44,Male,0.792567809170991,0.556117913741889,-0.953835510563371,0.4521095086231450,High Semantic,-1.277048030218530,Low Orthographic
S138,12,61,44,Male,0.375786461244866,0.556117913741889,-0.467618523284549,0.39471415535734400,High Semantic,-0.7161418746381720,Low Orthographic
S139,14,70,40,Female,0.792567809170991,-0.158054564958221,0.991032438551914,0.84302347125338,High Semantic,0.7263640024655170,High Orthographic
S140,10,71,44,Female,-0.040994886681258,0.556117913741889,1.15310476764485,0.8318172384149840,High Semantic,0.8756959272666720,High Orthographic
S141,8,59,40,Female,-0.457776234607382,-0.158054564958221,-0.79176318147043,-0.7420152637538510,Low Semantic,-0.536436520291917,Low Orthographic
S142,11,60,49,Male,0.167395787281804,1.44883351211703,-0.62969085237749,0.7604069474427930,High Semantic,-1.0990044692664800,Low Orthographic
S143,6,55,30,Male,-0.874557582533507,-1.9434857617085,-1.44005249784219,-2.435903159582250,Low Semantic,-0.416210413573689,Low Orthographic
S144,13,62,45,Female,0.584177135207929,0.734661033416917,-0.305546194191609,0.7142178270153880,High Semantic,-0.687430238487273,Low Orthographic
S145,5,61,36,Female,-1.08294825649657,-0.872227043658331,-0.467618523284549,-1.4615125205494400,Low Semantic,0.17283347837625000,High Orthographic
S146,8,74,39,Female,-0.457776234607382,-0.336597684633249,1.63932175492368,0.20342483202960500,High Semantic,1.7317278815782100,High Orthographic
S147,7,75,37,Female,-0.666166908570445,-0.693683923983304,1.80139408401662,-0.08899298273137210,Low Semantic,2.056593304123400,High Orthographic
S150,9,61,46,Female,-0.24938556064432,0.913204153091944,-0.467618523284549,0.21912809478426300,High Semantic,-0.6555747333972660,Low Orthographic
S153,23,74,49,Female,2.66808387483855,1.44883351211703,1.63932175492368,3.3653433473733200,High Semantic,0.2483889804489800,High Orthographic
S155,12,58,41,Female,0.375786461244866,0.0204885547168065,-0.953835510563371,-0.15981197779587700,Low Semantic,-0.9808942438242460,Low Orthographic
S156,5,63,34,Male,-1.08294825649657,-1.22931328300839,-0.143473865098668,-1.548626074276290,Low Semantic,0.5854356968185720,High Orthographic
S157,8,60,37,Female,-0.457776234607382,-0.693683923983304,-0.62969085237749,-1.0139708618651100,Low Semantic,-0.2120850915782870,Low Orthographic
S158,5,54,33,Female,-1.08294825649657,-1.40785640268341,-1.60212482693513,-2.2986091887446300,Low Semantic,-0.681022688709527,Low Orthographic
S159,19,64,47,Female,1.8345211789863,1.09174727276697,0.0185984639942719,1.8918716794260300,High Semantic,-0.8681635804966430,Low Orthographic
S160,11,61,40,Female,0.167395787281804,-0.158054564958221,-0.467618523284549,-0.19674511441195600,Low Semantic,-0.42050208207544100,Low Orthographic
S163,16,58,44,Male,1.20934915709712,0.556117913741889,-0.953835510563371,0.7214327631704200,High Semantic,-1.3961263373741200,Low Orthographic
S167,8,54,33,Female,-0.457776234607382,-1.40785640268341,-1.60212482693513,-1.894624306923720,Low Semantic,-0.8596401494429030,Low Orthographic
S168,11,57,41,Female,0.167395787281804,0.0204885547168065,-1.11590783965631,-0.3651162388300060,Low Semantic,-1.0686310397213800,Low Orthographic
S169,10,66,44,Female,-0.040994886681258,0.556117913741889,0.342743122180153,0.4786040696125260,High Semantic,0.13931617989204200,High Orthographic
S170,10,66,42,Female,-0.040994886681258,0.199031674391834,0.342743122180153,0.2502052483646950,High Semantic,0.2573664993845110,High Orthographic
S171,4,63,48,Female,-1.29133893045963,1.270290392442,-0.143473865098668,-0.08449595281511100,Low Semantic,-0.18137738605092400,Low Orthographic
S172,11,62,40,Male,0.167395787281804,-0.158054564958221,-0.305546194191609,-0.1261024806514640,Low Semantic,-0.27322613260051500,Low Orthographic
S173,11,55,46,Female,0.167395787281804,0.913204153091944,-1.44005249784219,0.06459554676858890,High Semantic,-1.6583087374024100,Low Orthographic
S174,15,60,42,Female,1.00095848313405,0.199031674391834,-0.62969085237749,0.4996575821699340,High Semantic,-0.9239849653540040,Low Orthographic
S175,5,69,41,Male,-1.08294825649657,0.0204885547168065,0.828960109458974,-0.3253743973459340,Low Semantic,1.055915275444480,High Orthographic
S176,4,62,45,Female,-1.29133893045963,0.734661033416917,-0.305546194191609,-0.49773681844734900,Low Semantic,-0.15157785628714500,Low Orthographic
S177,18,72,47,Male,1.62613050502324,1.09174727276697,1.3151770967378,2.3223511222363200,High Semantic,0.36958316888055700,High Orthographic
