SubjID,TestSite,ExclReason,Included VSL2,Included LDT,Date ,Sex,Age,Ethnicity,Race,handedness_score,read_for_pleasure,born_in_us,first_language,language_disability,spl_cor,spl_inc,spl_perc,vcb_cor,vcb_inc,vcb_perc,art_cor,art_inc,art_diff,TOWRE_rank,TOWRE_descriptor,hits,misses,correctRejections,falseAlarms,totalTrials,hit_rate,fa_rate,hit_rate_z,fa_rate_z,d_prime_raw,d_prime_zscore,sensitivity
136,Hampshire,,1,1,9/26/2018,Female,19,Not Hispanic or Latino,White,6,1-3 hours,Yes,English,No,67,13,83.75,34,16,68,43,23,20,,,10,22,10,22,32,0.3125,0.6875,-1.8034596651410100,1.8034596651410100,-0.375,-3.6069193302820200,Insensitive
137,Hampshire,EngNotNative,1,0,9/27/2018,Male,18,Not Hispanic or Latino,Asian,11,4-6 hours,No,Burmese,No,58,22,72.5,44,6,88,47,19,28,,,15,16,15,16,31,0.4838709677419360,0.5161290322580650,-0.6617866140090810,0.6617866140090810,-0.032258064516129000,-1.3235732280181600,Insensitive
138,Hampshire,,1,1,10/4/2018,Male,21,Not Hispanic or Latino,White,7,1-3 hours,Yes,English,No,61,19,76.25,44,6,88,45,21,24,,,19,13,19,13,32,0.59375,0.40625,0.07022728348139230,-0.07022728348139270,0.1875,0.14045456696278500,Insensitive
139,Hampshire,,1,1,10/9/2018,Female,21,Not Hispanic or Latino,White,10,1-3 hours,Yes,english,No,70,10,87.5,40,10,80,47,19,28,,,19,13,19,13,32,0.59375,0.40625,0.07022728348139230,-0.07022728348139270,0.1875,0.14045456696278500,Insensitive
140,Hampshire,,1,1,10/10/2018,Female,18,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,71,9,88.75,44,6,88,43,23,20,,,14,18,14,18,32,0.4375,0.5625,-0.970709910197721,0.9707099101977210,-0.125,-1.9414198203954400,Insensitive
141,Hampshire,,1,1,10/17/2018,Female,19,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,59,21,73.75,40,10,80,41,25,16,,,15,17,15,17,32,0.46875,0.53125,-0.7625224714618980,0.7625224714618980,-0.0625,-1.5250449429238000,Insensitive
142,Hampshire,,1,1,10/18/2018,Male,25,Not Hispanic or Latino,White,9,6+ hours,Yes,English,No,60,20,75,49,1,98,44,22,22,,,18,14,18,14,32,0.5625,0.4375,-0.1379601552544300,0.13796015525443000,0.125,-0.27592031050886000,Insensitive
143,Hampshire,,1,1,10/19/2018,Male,23,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,55,25,68.75,30,20,60,39,27,12,,,16,15,16,15,31,0.5161290322580650,0.4838709677419360,-0.4468834514430710,0.4468834514430700,0.032258064516129000,-0.8937669028861410,Insensitive
144,Hampshire,,1,1,10/24/2018,Female,19,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,62,18,77.5,45,5,90,46,20,26,,,15,17,15,17,32,0.46875,0.53125,-0.7625224714618980,0.7625224714618980,-0.0625,-1.5250449429238000,Insensitive
145,Hampshire,,1,1,10/25/2018,Female,18,Not Hispanic or Latino,White,8,1-3 hours,Yes,English,No,61,19,76.25,36,14,72,38,28,10,,,16,16,16,16,32,0.5,0.5,-0.5543350327260760,0.5543350327260750,0,-1.1086700654521500,Insensitive
