subject_nr,counter,cond_trig,word_trig,targ_type,target,correct,response_time,InvRT,LogRT
S201,245,202,42,CW_L,DRYNESS,1,736,0.00135869565217391,2.8668778143375
S201,246,208,6,FILL_NW,CINDS,1,738,0.0013550135501355,2.86805636182304
S201,247,204,15,NW_L_COMP,FREENESS,0,1222,0.000818330605564648,3.08707120590654
S201,248,203,23,NW_S_COMP,YANKORY,1,734,0.00136239782016349,2.86569605991607
S201,249,202,16,CW_L,HEATER,1,648,0.00154320987654321,2.81157500587059
S201,250,207,3,FILL_W,BALD,1,579,0.00172711571675302,2.76267856372744
S201,251,202,33,CW_L,CLOUDLESS,1,631,0.00158478605388273,2.80002935924413
S201,252,205,15,NW_S_SIMP,SCHEMENELS,1,703,0.00142247510668563,2.84695532501982
S201,253,201,21,CW_S,BUYER,1,673,0.00148588410104012,2.82801506422398
S201,254,204,9,NW_L_COMP,ILLIST,0,1222,0.000818330605564648,3.08707120590654
S201,255,205,10,NW_S_SIMP,BASKODY,1,874,0.0011441647597254,2.9415114326344
S201,256,207,30,FILL_W,FLOAT,1,709,0.00141043723554302,2.85064623518307
S201,257,208,44,FILL_NW,TUEER,1,709,0.00141043723554302,2.85064623518307
S201,258,208,11,FILL_NW,DARM,1,998,0.00100200400801603,2.99913054128737
S201,259,208,47,FILL_NW,VOGS,1,975,0.00102564102564103,2.98900461569854
S201,260,202,30,CW_L,JUMPING,1,566,0.00176678445229682,2.75281643118827
S201,261,208,45,FILL_NW,ULNS,1,618,0.00161812297734628,2.79098847508882
S201,262,203,10,NW_S_COMP,ELMIST,1,707,0.00141442715700141,2.8494194137969
S201,263,208,23,FILL_NW,GAIRS,1,607,0.00164744645799012,2.78318869107526
S201,264,208,49,FILL_NW,VUNKS,1,682,0.00146627565982405,2.83378437465648
S201,265,201,11,CW_S,LENDER,0,863,0.00115874855156431,2.93601079571521
S201,266,201,1,CW_S,DETECTABLE,1,919,0.00108813928182807,2.96331551138611
S201,267,201,20,CW_S,ATTACKER,1,547,0.00182815356489945,2.73798732633343
S201,268,201,41,CW_S,BOLDNESS,1,616,0.00162337662337662,2.78958071216443
S201,269,208,48,FILL_NW,VOOFS,1,710,0.00140845070422535,2.85125834871908
S201,270,207,22,FILL_W,SPLICE,1,921,0.001085776330076,2.96425963019685
S201,271,203,1,NW_S_COMP,MELTANCE,0,1222,0.000818330605564648,3.08707120590654
S201,272,202,37,CW_L,WRONGLY,1,799,0.00125156445556946,2.90254677931399
S201,273,201,28,CW_S,PEAKING,1,705,0.00141843971631206,2.8481891169914
S201,274,207,15,FILL_W,STARVE,1,614,0.00162866449511401,2.78816837114117
S201,275,207,18,FILL_W,CEASE,1,805,0.00124223602484472,2.90579588036787
S201,276,201,39,CW_S,AMAZEMENT,1,676,0.0014792899408284,2.82994669594164
S201,277,201,27,CW_S,TUTORING,1,491,0.00203665987780041,2.69108149212297
S201,278,206,2,NW_L_SIMP,BOGADY,1,1162,0.000860585197934596,3.06520612805431
S201,279,204,1,NW_L_COMP,STIRANCE,0,1222,0.000818330605564648,3.08707120590654
S201,280,201,22,CW_S,PLANNER,1,539,0.00185528756957328,2.73158876518674
S201,281,208,7,FILL_NW,CORG,1,992,0.00100806451612903,2.99651167215418
S201,282,206,4,NW_L_SIMP,BEGENGE,1,914,0.00109409190371991,2.96094619573383
S201,283,208,40,FILL_NW,PUCTS,1,635,0.0015748031496063,2.80277372529198
S201,284,204,14,NW_L_COMP,PASSMENT,1,827,0.00120918984280532,2.91750550955255
S201,285,202,11,CW_L,DANCER,1,637,0.00156985871271586,2.80413943233535
S201,286,207,47,FILL_W,TEST,1,554,0.00180505415162455,2.74350976472843
S201,287,203,17,NW_S_COMP,PRINCEMENT,1,1113,0.000898472596585804,3.04649516433471
S201,288,203,15,NW_S_COMP,TRUENESS,0,968,0.00103305785123967,2.98587535730839
S201,289,204,22,NW_L_COMP,BINDIC,1,872,0.00114678899082569,2.94051648493257
S201,290,208,1,FILL_NW,BAFED,1,829,0.00120627261761158,2.91855453055027
S201,291,203,6,NW_S_COMP,FANFUL,1,1031,0.000969932104752667,3.01325866528352
S201,292,205,8,NW_S_SIMP,OPPOSEMANT,1,788,0.00126903553299492,2.89652621748956
S201,293,203,12,NW_S_COMP,DUMBITY,1,703,0.00142247510668563,2.84695532501982
S201,294,204,8,NW_L_COMP,INKISM,1,705,0.00141843971631206,2.8481891169914
S201,295,203,7,NW_S_COMP,ALTARIC,1,706,0.00141643059490085,2.8488047010518
S201,296,207,26,FILL_W,MOURN,0,814,0.00122850122850123,2.9106244048892
S201,297,206,14,NW_L_SIMP,NUTLA,1,777,0.00128700128700129,2.89042101880091
S201,298,201,24,CW_S,THRUSTER,0,1051,0.000951474785918173,3.02160271602824
S201,299,205,14,NW_S_SIMP,HELMETOES,1,807,0.00123915737298637,2.90687353472207
S201,300,206,18,NW_L_SIMP,CLASSOES,1,729,0.00137174211248285,2.86272752831797
S202,1,207,20,FILL_W,CRUNCH,0,1221,0.000819000819000819,3.08671566394488
S202,2,205,1,NW_S_SIMP,SOCKETEL,1,956,0.00104602510460251,2.9804578922761
S202,3,205,11,NW_S_SIMP,DIGODY,1,1197,0.000835421888053467,3.07809415040641
S202,4,201,4,CW_S,MAGICAL,1,634,0.00157728706624606,2.80208925788173
S202,5,207,6,FILL_W,SLIM,1,702,0.00142450142450142,2.84633711212981
S202,6,206,17,NW_L_SIMP,LONGNELS,1,1191,0.000839630562552477,3.07591176148278
S202,7,202,49,CW_L,CREAMY,1,897,0.00111482720178372,2.95279244304409
S202,8,205,8,NW_S_SIMP,OPPOSEMANT,1,864,0.00115740740740741,2.93651374247889
S202,9,201,17,CW_S,SINGER,1,764,0.00130890052356021,2.88309335857569
S202,10,208,32,FILL_NW,KEMT,1,795,0.00125786163522013,2.90036712865647
S202,11,206,8,NW_L_SIMP,BEANITH,0,1221,0.000819000819000819,3.08671566394488
S202,12,202,17,CW_L,STRIKER,1,809,0.00123609394313968,2.90794852161227
S202,13,207,17,FILL_W,FOLLOW,1,665,0.00150375939849624,2.8228216453031
S202,14,208,5,FILL_NW,BUTE,1,667,0.00149925037481259,2.82412583391655
S202,15,207,31,FILL_W,FAINT,1,716,0.00139664804469274,2.85491302230786
S202,16,202,35,CW_L,SHAPELY,1,648,0.00154320987654321,2.81157500587059
S202,17,201,50,CW_S,RISKY,1,543,0.00184162062615101,2.73479982958885
S202,18,207,30,FILL_W,FLOAT,1,496,0.00201612903225806,2.6954816764902
S202,19,208,25,FILL_NW,GILN,1,665,0.00150375939849624,2.8228216453031
S202,20,201,10,CW_S,TOASTER,1,498,0.00200803212851406,2.69722934275972
S202,21,208,41,FILL_NW,SCURE,1,770,0.0012987012987013,2.88649072517248
S202,22,207,26,FILL_W,MOURN,1,566,0.00176678445229682,2.75281643118827
S202,23,205,7,NW_S_SIMP,JAWLA,1,661,0.00151285930408472,2.82020145948564
S202,24,203,22,NW_S_COMP,DEBTISH,1,729,0.00137174211248285,2.86272752831797
S202,25,202,7,CW_L,BOMBER,1,550,0.00181818181818182,2.74036268949424
S202,26,202,14,CW_L,FEEDER,1,694,0.00144092219020173,2.84135947045485
S202,27,202,45,CW_L,EDITOR,1,565,0.00176991150442478,2.75204844781944
S202,28,202,8,CW_L,LOCKER,1,467,0.00214132762312634,2.66931688056611
S202,29,203,16,NW_S_COMP,BRANCHER,1,727,0.00137551581843191,2.86153441085904
S202,30,208,18,FILL_NW,DULKS,1,691,0.00144717800289436,2.8394780473742
S202,31,201,36,CW_S,COSTLY,1,516,0.00193798449612403,2.71264970162721
S202,32,207,9,FILL_W,LEAK,1,468,0.00213675213675214,2.67024585307412
S202,33,201,49,CW_S,BOSSY,1,578,0.00173010380622837,2.76192783842053
S202,34,203,20,NW_S_COMP,EJECTENCE,1,687,0.00145560407569141,2.83695673705955
S202,35,201,35,CW_S,HUGELY,0,1093,0.000914913083257091,3.0386201619497
S202,36,202,40,CW_L,BLINDNESS,1,575,0.00173913043478261,2.75966784468963
S202,37,207,5,FILL_W,BLEAK,1,550,0.00181818181818182,2.74036268949424
S202,38,207,27,FILL_W,STALK,1,503,0.00198807157057654,2.70156798505593
S202,39,202,16,CW_L,HEATER,1,583,0.00171526586620926,2.76566855475901
S202,40,202,15,CW_L,CLEANER,1,495,0.00202020202020202,2.69460519893357
S202,41,202,50,CW_L,VERBAL,1,468,0.00213675213675214,2.67024585307412
S202,42,204,21,NW_L_COMP,EMPLOYNESS,1,630,0.00158730158730159,2.79934054945358
S202,43,208,40,FILL_NW,PUCTS,1,681,0.00146842878120411,2.83314711191279
S202,44,205,6,NW_S_SIMP,RAMPIME,1,659,0.00151745068285281,2.81888541459401
S202,45,203,9,NW_S_COMP,ARIDISM,1,606,0.00165016501650165,2.78247262416629
S202,46,205,16,NW_S_SIMP,ACREMANT,1,592,0.00168918918918919,2.77232170672292
S202,47,203,24,NW_S_COMP,FIENDISM,1,984,0.00101626016260163,2.99299509843134
S202,48,203,15,NW_S_COMP,TRUENESS,0,1220,0.000819672131147541,3.08635983067475
S202,49,201,16,CW_S,SEEKER,1,540,0.00185185185185185,2.73239375982297
S202,50,208,9,FILL_NW,BUWL,1,836,0.00119617224880383,2.92220627743902
S202,51,204,12,NW_L_COMP,MUDLY,1,653,0.00153139356814701,2.81491318127507
S202,52,207,7,FILL_W,PREACH,1,519,0.00192678227360308,2.71516735784846
S202,53,206,25,NW_L_SIMP,BEARILT,1,715,0.0013986013986014,2.85430604180108
S202,54,205,13,NW_S_SIMP,BOLTOES,1,638,0.00156739811912226,2.80482067872116
S202,55,207,48,FILL_W,TREAT,1,507,0.0019723865877712,2.70500795933334
S202,56,202,12,CW_L,DREAMER,1,696,0.0014367816091954,2.84260923961056
S202,57,207,38,FILL_W,COOK,1,469,0.00213219616204691,2.67117284271508
S202,58,208,13,FILL_NW,DASP,1,746,0.00134048257372654,2.87273882747267
S202,59,203,17,NW_S_COMP,PRINCEMENT,1,930,0.0010752688172043,2.96848294855394
S202,60,208,17,FILL_NW,DROES,1,639,0.00156494522691706,2.8055008581584
S202,61,208,6,FILL_NW,CINDS,1,610,0.00163934426229508,2.78532983501077
S202,62,204,15,NW_L_COMP,FREENESS,1,573,0.00174520069808028,2.75815462196739
S202,63,204,24,NW_L_COMP,AGREELY,1,530,0.00188679245283019,2.72427586960079
S202,64,206,9,NW_L_SIMP,WIGITH,1,548,0.00182481751824818,2.73878055848437
S202,65,208,37,FILL_NW,PLAODS,1,483,0.0020703933747412,2.68394713075151
S202,66,202,26,CW_L,GUARDING,1,634,0.00157728706624606,2.80208925788173
S202,67,202,2,CW_L,BARKER,1,706,0.00141643059490085,2.8488047010518
S202,68,201,43,CW_S,DULLNESS,1,786,0.00127226463104326,2.89542254603941
S202,69,201,12,CW_S,RAIDER,1,598,0.00167224080267559,2.77670118398841
S202,70,208,39,FILL_NW,PORDS,1,647,0.00154559505409583,2.8109042806687
S202,71,201,41,CW_S,BOLDNESS,1,660,0.00151515151515152,2.81954393554187
S202,72,202,43,CW_L,SAILOR,1,546,0.00183150183150183,2.73719264270474
S202,73,203,4,NW_S_COMP,FIGER,1,737,0.00135685210312076,2.86746748785905
S202,74,208,43,FILL_NW,SOISE,1,720,0.00138888888888889,2.85733249643127
S202,75,206,14,NW_L_SIMP,NUTLA,1,1053,0.000949667616334283,3.02242837118549
S202,76,206,5,NW_L_SIMP,PICKENGE,0,1221,0.000819000819000819,3.08671566394488
S202,77,202,19,CW_L,SHAMEFUL,0,612,0.00163398692810458,2.78675142214556
S202,78,208,22,FILL_NW,FROT,1,737,0.00135685210312076,2.86746748785905
S202,79,202,24,CW_L,COOLING,1,466,0.00214592274678112,2.66838591669
S202,80,204,5,NW_L_COMP,SHEETER,1,628,0.00159235668789809,2.7979596437372
S202,81,202,30,CW_L,JUMPING,1,526,0.00190114068441065,2.72098574415374
S202,82,203,13,NW_S_COMP,PILLIZE,0,1220,0.000819672131147541,3.08635983067475
S202,83,202,22,CW_L,FLEXIBLE,1,522,0.00191570881226054,2.71767050300226
S202,84,201,40,CW_S,ENJOYMENT,1,522,0.00191570881226054,2.71767050300226
S202,85,208,46,FILL_NW,VELT,1,692,0.00144508670520231,2.84010609445676
S202,86,207,13,FILL_W,WRECK,1,487,0.00205338809034908,2.68752896121463
S202,87,203,3,NW_S_COMP,LIDARY,1,609,0.00164203612479475,2.78461729263288
S202,88,201,27,CW_S,TUTORING,1,439,0.00227790432801822,2.64246452024212
S202,89,205,9,NW_S_SIMP,NEXTNELS,1,881,0.00113507377979569,2.94497590841205
S202,90,201,47,CW_S,MOSSY,1,567,0.0017636684303351,2.75358305889291
S202,91,202,20,CW_L,FAITHFUL,1,540,0.00185185185185185,2.73239375982297
S202,92,206,24,NW_L_SIMP,BLOODEL,1,1045,0.000956937799043062,3.01911629044707
S202,93,207,47,FILL_W,TEST,1,485,0.00206185567010309,2.68574173860226
S202,94,203,1,NW_S_COMP,MELTANCE,1,638,0.00156739811912226,2.80482067872116
