SubjID,nw_target,nw_response_time,nw_famsize,simp_comp,nw_LogBf
S105,valider,992,L,SIMP,6.43
S105,prayance,644,L,SIMP,6.96
S105,pillime,588,S,COMP,6.29
S105,figel,643,S,COMP,5.28
S105,elbowism,712,L,SIMP,7.47
S105,taxful,626,L,SIMP,7.92
S105,bandary,694,L,SIMP,6.89
S105,dumbidy,620,S,COMP,5.5
S105,weldig,676,S,COMP,4.86
S105,debtith,577,S,COMP,6.49
S105,antilm,703,S,COMP,5.33
S105,digory,603,S,SIMP,6.66
S105,growist,569,L,SIMP,9.05
S105,zoomful,860,S,SIMP,3.53
S105,classous,641,L,SIMP,8.73
S105,pickence,586,L,SIMP,8.13
S105,fanfil,530,S,COMP,6.16
S105,opposement,611,S,SIMP,6.9
S105,habitic,641,L,SIMP,7.63
S105,humidoes,604,S,COMP,4.52
S105,gumful,593,S,SIMP,4.04
S105,pitchody,498,L,COMP,6.41
S105,tiltary,629,S,SIMP,5.79
S105,happenange,12462,S,COMP,8.85
S105,coldidy,597,L,COMP,8.18
S105,altarig,712,S,COMP,6
S105,boil,489,L,COMP,7
S105,medicalary,710,S,SIMP,7.19
S105,jawly,519,S,SIMP,6.03
S105,gasfil,626,L,COMP,7.31
S105,employnels,622,L,COMP,8.44
S105,freenels,600,L,COMP,8.89
S105,ripenge,622,L,COMP,6.15
S105,illilt,515,L,COMP,7.77
S105,stirange,587,L,COMP,6.73
S105,ime,638,L,COMP,7.84
S105,nextness,712,S,SIMP,8.91
S105,nutly,546,L,SIMP,6.85
S105,schemeness,666,S,SIMP,7.39
S105,lidady,572,S,COMP,6.26
S105,breakidy,507,L,COMP,8.76
S105,dressory,627,L,SIMP,8.26
S105,mudla,502,L,COMP,6.82
S105,truenels,566,S,COMP,NA
S105,inkilm,570,L,COMP,5.67
S105,begence,454,L,SIMP,6.4
S105,ejectenge,480,S,COMP,4.19
S105,bearist,991,L,SIMP,7.87
S105,fiendilm,538,S,COMP,3.97
S105,elmilt,879,S,COMP,5.16
S105,princemant,620,S,COMP,6.81
S105,adoptish,656,S,COMP,7.09
S105,angelith,513,L,COMP,6.48
S105,criticance,995,L,SIMP,7.91
S105,curtidy,809,S,COMP,4.48
S105,advertisely,485,S,SIMP,1.56
S105,towerly,680,L,SIMP,7.07
S105,bogary,594,L,SIMP,5.56
S105,poority,604,L,SIMP,8.38
S105,winkity,637,S,SIMP,5.38
S105,thrillance,596,S,SIMP,5.73
S105,heightenge,873,S,COMP,6.82
S105,passmant,540,L,COMP,9.21
S105,helmetous,603,S,SIMP,5.49
S105,baskory,622,S,SIMP,4.22
S105,tripady,576,L,COMP,7.23
S105,urnist,529,S,SIMP,4.22
S105,socketer,716,S,SIMP,4.96
S105,addmant,711,L,COMP,8.68
S105,meltange,567,S,COMP,6.06
S105,agreela,710,L,COMP,8.46
S106,freeness,607,L,COMP,8.89
S106,aridism,843,S,COMP,4.61
S106,flipory,830,L,COMP,5.21
S106,classoes,813,L,SIMP,8.73
S106,northize,799,L,COMP,7.84
S106,bloodel,783,L,SIMP,8.29
S106,employness,664,L,COMP,8.44
S106,begenge,893,L,SIMP,6.4
S106,tiltady,993,S,SIMP,5.79
S106,fellowous,699,L,COMP,7.19
S106,nextnels,695,S,SIMP,8.91
S106,meltance,778,S,COMP,6.06
S106,helmetoes,633,S,SIMP,5.49
S106,ripence,748,L,COMP,6.15
S106,schemenels,938,S,SIMP,7.39
S106,breakity,694,L,COMP,8.76
S106,trueness,424,S,COMP,NA
S106,criticange,685,L,SIMP,7.91
S106,curtity,775,S,COMP,4.48
S106,heirig,994,S,SIMP,5.35
S106,lidary,989,S,COMP,6.26
S106,bindic,988,L,COMP,6.11
S106,illist,705,L,COMP,7.77
S106,figer,777,S,COMP,5.28
S106,habitig,656,L,SIMP,7.63
S106,gumfil,793,S,SIMP,4.04
S106,stirance,711,L,COMP,6.73
S106,witchith,826,L,SIMP,6.79
S106,dressody,735,L,SIMP,8.26
S106,coldity,815,L,COMP,8.18
S106,growilt,798,L,SIMP,9.05
S106,advertisela,889,S,SIMP,1.56
S106,prayange,994,L,SIMP,6.96
S106,adoptish,867,S,COMP,7.09
S106,rampime,839,S,SIMP,4.55
S106,altaric,950,S,COMP,6
S106,opposemant,803,S,SIMP,6.9
S106,zoomfil,911,S,SIMP,3.53
S106,angelish,953,L,COMP,6.48
S106,treasonize,996,S,COMP,4.93
S106,tripary,991,L,COMP,7.23
S106,taxfil,879,L,SIMP,7.92
S106,addment,970,L,COMP,8.68
S106,wigith,784,L,SIMP,5.57
S106,fiendism,807,S,COMP,3.97
S106,pickenge,730,L,SIMP,8.13
S106,heightence,873,S,COMP,6.82
S106,baskody,760,S,SIMP,4.22
S106,elbowilm,874,L,SIMP,7.47
S106,smoothfil,714,L,SIMP,6.95
S106,towerla,748,L,SIMP,7.07
S106,earilt,800,L,SIMP,2.77
S106,shootmant,717,L,SIMP,7.51
S106,feverime,992,S,SIMP,6.39
S106,flitence,927,L,COMP,6.4
S106,kingism,607,L,COMP,7.73
S106,mouthize,779,L,COMP,7.96
S106,pooridy,992,L,SIMP,8.38
S106,validel,789,L,SIMP,6.43
S106,brancher,996,S,COMP,7.43
S106,gasful,781,L,COMP,7.31
S106,weldic,925,S,COMP,4.86
S106,passment,608,L,COMP,9.21
S106,pillize,789,S,COMP,6.29
S106,elmist,996,S,COMP,5.16
S106,longnels,714,L,SIMP,9.86
S106,boltoes,684,S,SIMP,5.85
S106,pitchory,750,L,COMP,6.41
S106,beerer,753,S,COMP,6.75
S106,bearilt,708,L,SIMP,7.87
S106,thrillange,994,S,SIMP,5.73
S106,beanith,709,L,SIMP,6.05
S106,aidig,821,S,SIMP,7.06
S106,yieldilt,641,S,SIMP,6.42
S106,nutla,621,L,SIMP,6.85
S106,warnody,870,S,SIMP,7.44
S106,boilous,990,L,COMP,7
S106,winkidy,707,S,SIMP,5.38
S106,humidous,791,S,COMP,4.52
S106,bandady,681,L,SIMP,6.89
S106,jawla,777,S,SIMP,6.03
S106,urnilt,890,S,SIMP,4.22
S106,ejectence,889,S,COMP,4.19
S106,inkism,778,L,COMP,5.67
S106,medicalady,728,S,SIMP,7.19
S106,dumbity,717,S,COMP,5.5
S106,socketel,822,S,SIMP,4.96
S106,antism,761,S,COMP,5.33
S106,yankory,765,S,COMP,3.93
S106,happenance,783,S,COMP,8.85
S106,digody,598,S,SIMP,6.66
S106,fanful,590,S,COMP,6.16
S106,nullith,695,S,SIMP,3.81
S106,bogady,649,L,SIMP,5.56
S106,mudly,777,L,COMP,6.82
S106,agreely,807,L,COMP,8.46
S106,acremant,647,S,SIMP,6.56
S106,princement,751,S,COMP,6.81
S106,debtish,808,S,COMP,6.49
S106,sheeter,690,L,COMP,6.92
S107,kingilm,533,L,COMP,7.73
S107,angelith,414,L,COMP,6.48
S107,mudla,986,L,COMP,6.82
S107,ejectenge,441,S,COMP,4.19
S107,gumful,320,S,SIMP,4.04
S107,inkilm,321,L,COMP,5.67
S107,tripady,488,L,COMP,7.23
S107,altarig,552,S,COMP,6
S107,prayance,333,L,SIMP,6.96
S107,employnels,611,L,COMP,8.44
S107,adoptish,524,S,COMP,7.09
S107,bindig,491,L,COMP,6.11
S107,figel,465,S,COMP,5.28
S107,taxful,513,L,SIMP,7.92
S107,zoomful,379,S,SIMP,3.53
S107,addmant,565,L,COMP,8.68
S107,beanish,581,L,SIMP,6.05
S107,winkity,635,S,SIMP,5.38
S107,elbowism,529,L,SIMP,7.47
S107,lidady,508,S,COMP,6.26
S107,digory,476,S,SIMP,6.66
S107,medicalary,639,S,SIMP,7.19
S107,boltous,447,S,SIMP,5.85
S107,rampize,812,S,SIMP,4.55
S107,wigish,553,L,SIMP,5.57
S107,bearist,726,L,SIMP,7.87
S107,ime,534,L,COMP,7.84
S107,pitchody,604,L,COMP,6.41
S107,schemeness,555,S,SIMP,7.39
S107,agreela,688,L,COMP,8.46
S107,flitenge,606,L,COMP,6.4
S107,heiric,697,S,SIMP,5.35
S107,coldidy,706,L,COMP,8.18
S107,fanfil,548,S,COMP,6.16
S107,dressory,633,L,SIMP,8.26
S107,heightenge,772,S,COMP,6.82
S107,humidoes,622,S,COMP,4.52
S107,treasonime,551,S,COMP,4.93
S107,towerly,490,L,SIMP,7.07
S107,beerel,704,S,COMP,6.75
S107,yieldist,543,S,SIMP,6.42
S107,flipody,522,L,COMP,5.21
S107,valider,545,L,SIMP,6.43
S107,witchish,359,L,SIMP,6.79
S107,pickence,578,L,SIMP,8.13
S107,opposement,606,S,SIMP,6.9
S107,socketer,780,S,SIMP,4.96
S107,nutly,492,L,SIMP,6.85
S107,fiendilm,503,S,COMP,3.97
S107,begence,556,L,SIMP,6.4
S107,growist,484,L,SIMP,9.05
S107,jawly,332,S,SIMP,6.03
S107,nextness,712,S,SIMP,8.91
S107,fellowoes,455,L,COMP,7.19
S107,blooder,387,L,SIMP,8.29
S107,earist,373,L,SIMP,2.77
S107,boil,420,L,COMP,7
S107,acrement,431,S,SIMP,6.56
S107,nullish,660,S,SIMP,3.81
S107,truenels,419,S,COMP,NA
S107,helmetous,538,S,SIMP,5.49
S107,thrillance,466,S,SIMP,5.73
S107,elmilt,533,S,COMP,5.16
S107,classous,403,L,SIMP,8.73
S107,criticance,631,L,SIMP,7.91
S107,warnory,541,S,SIMP,7.44
S107,stirange,767,L,COMP,6.73
S107,urnist,558,S,SIMP,4.22
S107,princemant,648,S,COMP,6.81
S107,gasfil,552,L,COMP,7.31
S107,yankody,491,S,COMP,3.93
S107,bogary,602,L,SIMP,5.56
S107,smoothful,771,L,SIMP,6.95
S107,aridilm,670,S,COMP,4.61
S107,debtith,546,S,COMP,6.49
S107,ripenge,595,L,COMP,6.15
S107,meltange,686,S,COMP,6.06
S107,aidic,559,S,SIMP,7.06
S107,illilt,521,L,COMP,7.77
S107,habitic,474,L,SIMP,7.63
S107,branchel,685,S,COMP,7.43
S107,feverize,710,S,SIMP,6.39
S107,antilm,535,S,COMP,5.33
S107,dumbidy,568,S,COMP,5.5
S107,bandary,404,L,SIMP,6.89
S107,passmant,408,L,COMP,9.21
S107,sheetel,595,L,COMP,6.92
S107,tiltary,464,S,SIMP,5.79
S107,weldig,582,S,COMP,4.86
S107,curtidy,663,S,COMP,4.48
S107,mouthime,486,L,COMP,7.96
S107,shootment,777,L,SIMP,7.51
S107,baskory,505,S,SIMP,4.22
S107,happenange,720,S,COMP,8.85
S107,freenels,684,L,COMP,8.89
S107,pillime,423,S,COMP,6.29
S107,breakidy,595,L,COMP,8.76
S107,advertisely,854,S,SIMP,1.56
S107,longness,496,L,SIMP,9.86
S107,poority,509,L,SIMP,8.38
S108,shootmant,989,L,SIMP,7.51
S108,taxfil,665,L,SIMP,7.92
S108,trueness,625,S,COMP,NA
S108,medicalady,991,S,SIMP,7.19
S108,flitence,729,L,COMP,6.4
S108,acremant,788,S,SIMP,6.56
S108,curtity,844,S,COMP,4.48
S108,elmist,735,S,COMP,5.16
S108,bindic,715,L,COMP,6.11
S108,socketel,768,S,SIMP,4.96
S108,antism,904,S,COMP,5.33
S108,jawla,576,S,SIMP,6.03
S108,growilt,696,L,SIMP,9.05
S108,warnody,663,S,SIMP,7.44
S108,northize,738,L,COMP,7.84
S108,urnilt,615,S,SIMP,4.22
S108,meltance,662,S,COMP,6.06
S108,thrillange,849,S,SIMP,5.73
S108,passment,949,L,COMP,9.21
S108,breakity,796,L,COMP,8.76
S108,pitchory,875,L,COMP,6.41
S108,flipory,615,L,COMP,5.21
S108,pooridy,737,L,SIMP,8.38
S108,beanith,992,L,SIMP,6.05
S108,helmetoes,683,S,SIMP,5.49
S108,towerla,598,L,SIMP,7.07
S108,bogady,742,L,SIMP,5.56
S108,earilt,57079,L,SIMP,2.77
S108,opposemant,778,S,SIMP,6.9
S108,sheeter,980,L,COMP,6.92
S108,kingism,610,L,COMP,7.73
S108,agreely,427,L,COMP,8.46
S108,aridism,558,S,COMP,4.61
S108,tiltady,636,S,SIMP,5.79
S108,fiendism,885,S,COMP,3.97
S108,altaric,709,S,COMP,6
S108,longnels,661,L,SIMP,9.86
S108,advertisela,812,S,SIMP,1.56
S108,coldity,969,L,COMP,8.18
S108,smoothfil,738,L,SIMP,6.95
S108,yankory,621,S,COMP,3.93
S108,classoes,617,L,SIMP,8.73
S108,princement,908,S,COMP,6.81
S108,bandady,824,L,SIMP,6.89
S108,feverime,757,S,SIMP,6.39
S108,witchith,754,L,SIMP,6.79
S108,stirance,652,L,COMP,6.73
S108,digody,692,S,SIMP,6.66
S108,mouthize,455,L,COMP,7.96
S108,lidary,606,S,COMP,6.26
S108,pillize,708,S,COMP,6.29
S108,tripary,696,L,COMP,7.23
S108,elbowilm,778,L,SIMP,7.47
S108,zoomfil,628,S,SIMP,3.53
S108,nutla,769,L,SIMP,6.85
S108,beerer,866,S,COMP,6.75
S108,brancher,601,S,COMP,7.43
S108,schemenels,629,S,SIMP,7.39
S108,criticange,666,L,SIMP,7.91
S108,dumbity,801,S,COMP,5.5
S108,happenance,994,S,COMP,8.85
S108,freeness,722,L,COMP,8.89
S108,nextnels,641,S,SIMP,8.91
S108,angelish,429,L,COMP,6.48
S108,aidig,585,S,SIMP,7.06
S108,baskody,617,S,SIMP,4.22
S108,gasful,580,L,COMP,7.31
S108,boilous,994,L,COMP,7
S108,fellowous,756,L,COMP,7.19
S108,yieldilt,637,S,SIMP,6.42
S108,wigith,701,L,SIMP,5.57
S108,treasonize,993,S,COMP,4.93
S108,employness,818,L,COMP,8.44
S108,pickenge,700,L,SIMP,8.13
S108,dressody,772,L,SIMP,8.26
S108,mudly,40364,L,COMP,6.82
S108,habitig,634,L,SIMP,7.63
S108,debtish,654,S,COMP,6.49
S108,boltoes,648,S,SIMP,5.85
S108,nullith,667,S,SIMP,3.81
S108,validel,661,L,SIMP,6.43
S108,prayange,993,L,SIMP,6.96
S108,weldic,567,S,COMP,4.86
S108,humidous,429,S,COMP,4.52
S108,begenge,562,L,SIMP,6.4
S108,addment,574,L,COMP,8.68
S108,heirig,675,S,SIMP,5.35
S108,illist,884,L,COMP,7.77
S108,bearilt,665,L,SIMP,7.87
S108,fanful,685,S,COMP,6.16
S108,inkism,625,L,COMP,5.67
S108,figer,634,S,COMP,5.28
S108,gumfil,874,S,SIMP,4.04
S108,ejectence,707,S,COMP,4.19
S108,ripence,641,L,COMP,6.15
S108,adoptish,651,S,COMP,7.09
S108,rampime,608,S,SIMP,4.55
S108,bloodel,607,L,SIMP,8.29
S108,heightence,667,S,COMP,6.82
S108,winkidy,816,S,SIMP,5.38
S109,beanish,927,L,SIMP,6.05
S109,advertisely,994,S,SIMP,1.56
S109,ripenge,894,L,COMP,6.15
S109,inkilm,850,L,COMP,5.67
