SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,ART_correct,vocab_correct,spell_correct,z_ART,z_vocab,z_spell,Dim.1,Dim.2,lang_type,word,Base,affix,Source,FS,BF,LogBF,FS_Split,BaseLength,WholeFormLength,famsize
S101,592,1,CW_L,202,19,SHAMEFUL,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,shameful,shame,ful,FORD,13,993,6.9,L,5,8,Large
S101,481,1,CW_L,202,20,FAITHFUL,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,faithful,faith,ful,FORD,12,1320,7.19,L,5,8,Large
S101,527,1,CW_L,202,21,DOUBTFUL,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,doubtful,doubt,ful,FORD,8,4135,8.33,L,5,8,Large
S101,604,1,CW_L,202,22,FLEXIBLE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,flexible,flex,ible,RastleFiller,16,664,6.5,L,4,8,Large
S101,635,1,CW_L,202,23,KICKING,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,kicking,kick,ing,RastleFiller,15,1012,6.92,L,4,7,Large
S101,810,1,CW_L,202,24,COOLING,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,cooling,cool,ing,RastleFiller,14,1434,7.27,L,4,7,Large
S101,525,1,CW_L,202,25,PARKING,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,parking,park,ing,RastleFiller,9,1945,7.57,L,4,7,Large
S101,509,1,CW_L,202,26,GUARDING,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,guarding,guard,ing,RastleFiller,28,2047,7.62,L,5,8,Large
S101,549,1,CW_L,202,27,LAUGHING,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,laughing,laugh,ing,RastleFiller,18,4181,8.34,L,5,8,Large
S101,996,0,CW_L,202,28,DAMPISH,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,dampish,damp,ish,FORD,11,621,6.43,L,4,7,Large
S101,513,1,CW_L,202,29,STYLISH,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,stylish,style,ish,XuTaft,16,2119,7.66,L,5,7,Large
S101,620,1,CW_L,202,30,JUMPING,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,jumping,jump,jumping,RastleFiller,15,1395,7.24,L,4,7,Large
