Condition,base,word,cond_trig,word_trig,ItemID,affix,Source,FS,BF,LogBF,Complexity,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,List
NW_L_SIMP,shoot,shootmant,206,16,616,ment,Crepaldi,23,1828,7.51,Simple,Large,High,5.00,9.00,2,AB
NW_L_SIMP,long,longnels,206,17,617,ness,Crepaldi,59,19076,9.86,Simple,Large,High,4.00,8.00,2,AB
NW_L_SIMP,class,classoes,206,18,618,ous,Crepaldi,29,6216,8.73,Simple,Large,High,5.00,8.00,2,AB
NW_L_SIMP,smooth,smoothfil,206,19,619,ful,Graves,12,1042,6.95,Simple,Large,High,6.00,9.00,2,AB
NW_L_SIMP,grow,growilt,206,20,620,ic,Graves,14,8545,9.05,Simple,Large,High,4.00,7.00,2,AB
NW_L_SIMP,dress,dressody,206,21,621,ory,Graves,33,3885,8.26,Simple,Large,High,5.00,9.00,2,AB
NW_L_SIMP,critic,criticange,206,22,622,ize,Rastle,11,2720,7.91,Simple,Large,High,6.00,10.00,2,AB
NW_L_SIMP,blood,bloodel,206,24,624,er,RastleFiller,53,3988,8.29,Simple,Large,High,5.00,7.00,2,AB
NW_L_SIMP,bear,bearilt,206,25,625,ist,RastleFiller,30,2626,7.87,Simple,Large,High,4.00,7.00,2,AB
NW_S_SIMP,socket,socketel,205,1,51,er,Crepaldi,1,143,4.96,Simple,Small,Low,6.00,8.00,2,AB
NW_S_SIMP,gum,gumfil,205,2,52,ful,Crepaldi,2,57,4.04,Simple,Small,Low,3.00,6.00,2,AB
NW_S_SIMP,heir,heirig,205,3,53,ic,Crepaldi,3,211,5.35,Simple,Small,Low,4.00,6.00,2,AB
NW_S_SIMP,urn,urnilt,205,5,55,ist,Crepaldi,2,68,4.22,Simple,Small,Low,3.00,6.00,2,AB
NW_S_SIMP,ramp,rampime,205,6,56,ize,Crepaldi,1,95,4.55,Simple,Small,Low,4.00,7.00,2,AB
NW_S_SIMP,jaw,jawla,205,7,57,ly,Crepaldi,7,414,6.03,Simple,Small,Low,3.00,5.00,2,AB
NW_S_SIMP,bask,baskody,205,10,510,ory,Crepaldi,1,68,4.22,Simple,Small,Low,4.00,7.00,2,AB
NW_S_SIMP,bolt,boltoes,205,13,513,ous,Crepaldi,6,348,5.85,Simple,Small,Low,4.00,7.00,2,AB
NW_S_SIMP,helmet,helmetoes,205,14,514,ous,Crepaldi,6,242,5.49,Simple,Small,Low,6.00,9.00,2,AB
NW_S_SIMP,tilt,tiltady,205,17,517,ary,RastleFiller,3,328,5.79,Simple,Small,Low,4.00,7.00,2,AB
NW_S_SIMP,zoom,zoomfil,205,19,519,ful,RastleFiller,2,34,3.53,Simple,Small,Low,4.00,7.00,2,AB
NW_S_SIMP,yield,yieldilt,205,20,520,ist,RastleFiller,4,613,6.42,Simple,Small,Low,5.00,8.00,2,AB
NW_S_SIMP,wink,winkidy,205,21,521,ity,RastleFiller,4,216,5.38,Simple,Small,Low,4.00,7.00,2,AB
NW_S_SIMP,thrill,thrillange,205,22,522,ance,XuTaft,4,307,5.73,Simple,Small,Low,6.00,10.00,2,AB
NW_S_SIMP,null,nullith,205,23,523,ish,XuTaft,4,45,3.81,Simple,Small,Low,4.00,7.00,2,AB
NW_S_SIMP,fever,feverime,205,24,524,ize,XuTaft,4,594,6.39,Simple,Small,Low,5.00,8.00,2,AB
NW_S_SIMP,advertise,advertisela,205,25,525,ly,XuTaft,4,4.76,1.56,Simple,Small,Low,9.00,11.00,2,AB
NW_L_SIMP,bog,bogady,206,2,62,ary,Crepaldi,12,259,5.56,Simple,Large,Low,3.00,6.00,2,AB
NW_L_SIMP,beg,begenge,206,4,64,ence,Crepaldi,8,604,6.40,Simple,Large,Low,3.00,7.00,2,AB
NW_L_SIMP,bean,beanith,206,8,68,ish,Crepaldi,9,425,6.05,Simple,Large,Low,4.00,7.00,2,AB
NW_L_SIMP,wig,wigith,206,9,69,ish,Crepaldi,8,262,5.57,Simple,Large,Low,3.00,6.00,2,AB
NW_L_SIMP,ear,earilt,206,12,612,ist,Crepaldi,16,1711,2.77,Simple,Large,Low,3.00,6.00,2,AB
NW_L_SIMP,valid,validel,206,23,623,er,RastleFiller,13,618,6.43,Simple,Large,Low,5.00,7.00,2,AB
