Marker,ConditionCode,TimeMS,Size,ChanNum,RT,PrevCondition1,PrevCondition2,SubjID
Mk150,220,102518,1,0,549,202, 47,S101
Mk153,220,104127,1,0,545,207, 44,S101
Mk156,221,106460,1,0,540,208, 14,S101
Mk159,220,107981,1,0,545,202, 22,S101
Mk162,220,109526,1,0,543,206, 39,S101
Mk165,220,111894,1,0,557,205, 23,S101
Mk168,220,113419,1,0,549,202,  2,S101
Mk171,220,114988,1,0,542,208,  3,S101
Mk174,220,117358,1,0,542,208, 26,S101
Mk177,220,118856,1,0,544,208,  9,S101
Mk180,220,120479,1,0,562,208, 28,S101
Mk183,220,122720,1,0,540,206, 49,S101
Mk186,220,124258,1,0,541,201, 21,S101
Mk189,220,125779,1,0,541,208, 36,S101
Mk192,220,128157,1,0,544,201, 17,S101
Mk195,220,129655,1,0,545,201, 16,S101
Mk198,220,131248,1,0,542,201, 39,S101
Mk201,220,133587,1,0,540,207, 10,S101
Mk204,220,135259,1,0,549,207, 19,S101
Mk207,220,136788,1,0,540,205, 15,S101
Mk210,221,139079,1,0,539,208, 12,S101
Mk213,221,140555,1,0,540,208, 19,S101
Mk216,220,142138,1,0,540,202, 15,S101
Mk219,220,144448,1,0,541,202, 18,S101
Mk222,220,145956,1,0,541,205, 38,S101
Mk225,220,147542,1,0,539,204, 13,S101
Mk228,220,175703,1,0,555,207, 18,S101
Mk231,220,177178,1,0,539,201, 44,S101
Mk234,220,178700,1,0,552,208, 26,S101
Mk237,220,181090,1,0,559,201, 10,S101
Mk240,220,182651,1,0,549,208,  1,S101
Mk243,221,184183,1,0,552,208, 40,S101
Mk246,220,186504,1,0,548,202, 41,S101
Mk249,220,188013,1,0,539,207, 27,S101
Mk252,220,189566,1,0,555,201, 36,S101
Mk255,221,191863,1,0,539,204, 31,S101
Mk258,220,193409,1,0,539,202, 17,S101
Mk261,220,195057,1,0,541,201, 35,S101
Mk264,220,197319,1,0,549,202, 38,S101
Mk267,221,198825,1,0,559,204, 49,S101
Mk270,220,200355,1,0,547,205,  2,S101
Mk273,220,202610,1,0,548,208, 23,S101
Mk276,221,204163,1,0,542,208, 31,S101
Mk279,220,205774,1,0,553,207,  7,S101
Mk282,220,208066,1,0,553,202, 40,S101
Mk285,220,209536,1,0,539,207, 50,S101
Mk288,220,211170,1,0,544,208,  1,S101
Mk291,221,213520,1,0,548,204, 50,S101
Mk294,221,215158,1,0,540,206,  3,S101
Mk297,220,216702,1,0,542,207, 17,S101
Mk300,220,219010,1,0,554,208, 13,S101
Mk303,220,220539,1,0,554,207, 30,S101
Mk306,220,222132,1,0,543,207, 16,S101
Mk309,221,224397,1,0,545,206, 10,S101
Mk312,220,225973,1,0,541,203, 24,S101
Mk315,220,227442,1,0,544,201,  8,S101
Mk318,220,229817,1,0,539,202, 48,S101
Mk321,221,231335,1,0,541,207, 17,S101
Mk324,220,232933,1,0,538,207, 23,S101
Mk327,220,235272,1,0,544,208, 26,S101
Mk330,220,236808,1,0,538,201, 36,S101
Mk333,220,238363,1,0,539,201, 20,S101
Mk336,220,240756,1,0,544,201, 30,S101
Mk339,220,242261,1,0,544,202, 37,S101
Mk342,221,243754,1,0,550,208, 34,S101
Mk345,220,246129,1,0,550,206, 46,S101
Mk348,221,247700,1,0,550,204,  7,S101
Mk351,220,249266,1,0,545,208, 22,S101
Mk354,220,251577,1,0,543,207, 48,S101
Mk357,221,253137,1,0,544,204, 29,S101
Mk360,220,254676,1,0,546,207, 13,S101
Mk363,220,256941,1,0,544,206, 22,S101
Mk366,220,258501,1,0,550,202,  6,S101
Mk369,220,260063,1,0,549,205,  6,S101
Mk372,220,262408,1,0,539,202,  5,S101
Mk375,220,264028,1,0,539,201, 40,S101
Mk378,220,265601,1,0,545,201, 14,S101
Mk381,220,267946,1,0,556,202, 46,S101
Mk384,220,269463,1,0,540,201, 13,S101
Mk387,220,270944,1,0,537,207, 24,S101
Mk390,220,273262,1,0,538,201, 17,S101
Mk393,221,274762,1,0,538,204, 18,S101
Mk396,220,276301,1,0,540,206, 19,S101
Mk399,220,278635,1,0,544,201,  9,S101
Mk402,220,280164,1,0,548,201, 29,S101
Mk405,220,281742,1,0,542,204, 21,S101
Mk408,221,284097,1,0,543,204, 10,S101
Mk411,220,285571,1,0,546,208, 16,S101
Mk414,220,287097,1,0,543,207, 42,S101
Mk417,220,289438,1,0,550,203, 21,S101
Mk420,221,290940,1,0,539,204,  6,S101
Mk423,220,292520,1,0,540,207, 24,S101
Mk426,220,294852,1,0,543,201,  9,S101
Mk429,220,296439,1,0,551,207, 50,S101
Mk432,220,297956,1,0,542,201, 30,S101
Mk435,220,300344,1,0,543,208,  2,S101
Mk438,221,301985,1,0,554,203, 21,S101
Mk441,220,303508,1,0,540,201,  2,S101
Mk444,220,305789,1,0,546,207, 27,S101
Mk447,221,307295,1,0,535,206, 48,S101
Mk450,220,308862,1,0,539,202, 22,S101
Mk453,220,386382,1,0,543,202, 19,S101
Mk456,220,387972,1,0,541,206, 16,S101
Mk459,220,389566,1,0,539,208, 18,S101
Mk462,220,391887,1,0,539,207, 14,S101
Mk465,221,393515,1,0,550,208, 20,S101
Mk468,220,395070,1,0,551,205, 38,S101
Mk471,220,397441,1,0,564,202, 16,S101
Mk474,221,399036,1,0,542,201, 10,S101
Mk477,221,400520,1,0,534,204, 25,S101
Mk480,220,402793,1,0,540,208,  1,S101
Mk483,221,404372,1,0,540,206, 18,S101
Mk486,221,405936,1,0,553,205, 10,S101
Mk489,221,408237,1,0,542,201, 19,S101
Mk492,221,409782,1,0,545,208, 42,S101
Mk495,220,411390,1,0,544,207, 24,S101
Mk498,220,413666,1,0,541,208, 46,S101
Mk501,220,415257,1,0,540,202, 43,S101
Mk504,220,416770,1,0,545,207, 22,S101
Mk507,221,419036,1,0,544,204,  7,S101
Mk510,221,420689,1,0,542,204, 14,S101
Mk513,220,422232,1,0,539,203, 23,S101
Mk516,221,424570,1,0,544,203, 25,S101
Mk519,220,426162,1,0,540,202, 15,S101
Mk522,221,427794,1,0,539,205, 33,S101
Mk525,221,430156,1,0,538,205, 15,S101
Mk528,221,431725,1,0,548,205,  1,S101
Mk531,220,433210,1,0,550,207, 22,S101
Mk534,220,435506,1,0,541,207, 12,S101
Mk537,220,436995,1,0,539,207, 37,S101
Mk540,220,438559,1,0,565,203, 34,S101
Mk543,221,440877,1,0,541,206,  4,S101
Mk546,220,442438,1,0,539,205, 14,S101
Mk549,220,444010,1,0,545,208, 14,S101
Mk552,221,446307,1,0,541,206, 34,S101
Mk555,220,447844,1,0,540,201,  1,S101
Mk558,220,449373,1,0,540,202,  3,S101
Mk561,220,451783,1,0,563,208, 30,S101
Mk564,221,453316,1,0,541,208, 44,S101
Mk567,221,454851,1,0,551,203, 11,S101
Mk570,221,457093,1,0,539,203,  1,S101
Mk573,220,458695,1,0,553,208, 24,S101
Mk576,220,460278,1,0,540,208,  1,S101
Mk579,221,462551,1,0,546,205, 23,S101
Mk582,221,464083,1,0,541,203,  9,S101
Mk585,221,465671,1,0,549,203, 11,S101
Mk588,220,467939,1,0,542,201, 12,S101
Mk591,221,469515,1,0,564,208, 34,S101
Mk594,221,471071,1,0,545,206, 20,S101
Mk597,221,473371,1,0,540,204,  4,S101
Mk600,221,474955,1,0,546,207, 11,S101
Mk603,221,476465,1,0,542,202, 43,S101
Mk606,220,478776,1,0,553,206, 28,S101
Mk609,220,480327,1,0,541,201, 11,S101
Mk612,220,481855,1,0,544,208, 28,S101
Mk615,220,484152,1,0,541,202, 12,S101
Mk618,220,485726,1,0,544,201, 45,S101
Mk621,220,487347,1,0,540,201, 12,S101
Mk624,220,489614,1,0,540,202, 22,S101
Mk627,220,491202,1,0,540,202,  7,S101
Mk630,220,492814,1,0,548,201, 29,S101
Mk633,220,495179,1,0,550,207, 23,S101
Mk636,220,496767,1,0,542,202,  8,S101
Mk639,220,498380,1,0,555,207,  8,S101
Mk642,221,500669,1,0,556,207,  6,S101
Mk645,221,502251,1,0,542,208,  4,S101
Mk648,220,503812,1,0,549,201, 27,S101
Mk651,221,506158,1,0,540,203, 43,S101
Mk654,221,507679,1,0,553,203, 19,S101
Mk657,220,509275,1,0,545,202, 17,S101
Mk660,220,511647,1,0,542,205,  1,S101
Mk663,221,513148,1,0,542,208,  7,S101
Mk666,221,514657,1,0,539,203, 16,S101
Mk669,220,517013,1,0,549,202,  9,S101
Mk672,220,518538,1,0,540,208, 43,S101
Mk675,221,520136,1,0,547,202, 33,S101
Mk678,221,522461,1,0,546,206,  2,S101
Mk681,221,524059,1,0,540,204, 13,S101
Mk684,220,525652,1,0,549,202, 21,S101
Mk687,220,527980,1,0,544,207, 48,S101
Mk690,220,529496,1,0,543,207, 28,S101
Mk693,220,531001,1,0,539,201, 47,S101
Mk696,220,533303,1,0,541,201, 41,S101
Mk699,220,534878,1,0,549,202, 45,S101
Mk702,220,536383,1,0,542,202, 46,S101
Mk705,220,538728,1,0,541,207, 42,S101
Mk708,221,540303,1,0,541,208, 11,S101
Mk711,220,541804,1,0,558,207, 25,S101
Mk714,220,544083,1,0,549,202, 45,S101
Mk717,220,545668,1,0,543,201, 36,S101
Mk720,221,547244,1,0,539,208, 32,S101
Mk723,221,549536,1,0,539,208, 35,S101
Mk726,221,551086,1,0,556,205,  6,S101
Mk729,220,552649,1,0,552,201, 10,S101
Mk732,220,554997,1,0,546,207,  8,S101
Mk735,220,556588,1,0,532,204, 18,S101
Mk738,220,558200,1,0,540,202,  5,S101
Mk741,221,560548,1,0,542,208, 26,S101
Mk744,220,562136,1,0,542,207, 32,S101
Mk747,221,563636,1,0,546,205, 35,S101
Mk750,220,565947,1,0,540,201,  3,S101
Mk753,221,567552,1,0,541,203,  5,S101
Mk756,220,569114,1,0,553,208, 20,S101
Mk759,220,571435,1,0,549,207, 13,S101
Mk762,221,572952,1,0,541,201, 32,S101
Mk765,220,574473,1,0,541,205, 47,S101
Mk768,220,576769,1,0,541,203, 24,S101
Mk771,220,578269,1,0,540,202, 23,S101
Mk774,220,579837,1,0,542,201, 23,S101
Mk777,220,582153,1,0,541,207, 49,S101
Mk780,220,583694,1,0,540,201, 42,S101
Mk783,220,585281,1,0,543,201,  9,S101
Mk786,220,587536,1,0,556,202, 40,S101
Mk789,220,589129,1,0,541,201, 31,S101
Mk792,220,590680,1,0,550,202, 44,S101
Mk795,221,593038,1,0,541,204, 37,S101
Mk798,220,594605,1,0,542,207,  8,S101
Mk801,221,596106,1,0,542,203, 38,S101
Mk804,220,598449,1,0,556,207, 18,S101
Mk807,220,599988,1,0,540,207, 33,S101
Mk810,220,601569,1,0,555,207, 31,S101
Mk813,220,603911,1,0,538,202, 25,S101
Mk816,220,605474,1,0,559,202, 32,S101
Mk819,220,607022,1,0,540,208,  4,S101
Mk822,220,609292,1,0,544,205,  4,S101
Mk825,221,610902,1,0,558,205, 20,S101
Mk828,220,612543,1,0,540,202, 18,S101
Mk831,221,614967,1,0,560,203,  5,S101
Mk834,220,616581,1,0,548,207, 22,S101
Mk837,220,618188,1,0,555,207, 39,S101
Mk840,221,620477,1,0,544,204, 41,S101
Mk843,220,621982,1,0,541,207,  6,S101
Mk846,220,623534,1,0,559,202, 49,S101
Mk849,221,625869,1,0,540,203, 14,S101
Mk852,220,627461,1,0,540,207,  7,S101
Mk855,220,629011,1,0,540,203,  3,S101
Mk858,221,631305,1,0,559,204, 10,S101
Mk861,220,632816,1,0,540,201, 12,S101
Mk864,221,634438,1,0,541,208, 11,S101
Mk867,220,636833,1,0,540,201,  5,S101
Mk870,220,638373,1,0,547,206, 35,S101
Mk873,220,639871,1,0,540,205, 15,S101
Mk876,220,642217,1,0,549,207, 21,S101
Mk879,220,643714,1,0,541,206, 27,S101
Mk882,221,645280,1,0,557,203, 16,S101
Mk885,220,647585,1,0,541,202,  5,S101
Mk888,220,649143,1,0,541,201, 47,S101
Mk891,221,650732,1,0,555,205, 33,S101
Mk894,221,653008,1,0,543,206,  8,S101
Mk897,221,654540,1,0,541,206, 19,S101
Mk900,220,656066,1,0,542,202,  3,S101
Mk3,221,203479,1,0,551,208,,S104
Mk6,221,205027,1,0,545,203, 47,S104
Mk9,220,206602,1,0,540,207,  4,S104
Mk12,220,208911,1,0,549,204, 49,S104
Mk15,220,210458,1,0,537,202, 11,S104
Mk18,220,212061,1,0,544,202,  8,S104
Mk21,221,214407,1,0,540,208, 26,S104
Mk24,220,215935,1,0,560,207,  6,S104
Mk27,220,217452,1,0,539,208, 38,S104
Mk30,220,219807,1,0,540,207, 24,S104
Mk33,220,221398,1,0,551,201, 42,S104
Mk36,220,222980,1,0,546,202, 33,S104
Mk39,220,225357,1,0,539,201, 36,S104
Mk42,220,226951,1,0,541,201, 48,S104
Mk45,221,228490,1,0,551,204, 35,S104
Mk48,220,230826,1,0,545,207, 20,S104
Mk51,220,232351,1,0,549,208, 47,S104
Mk54,220,234015,1,0,534,201, 17,S104
Mk57,220,236376,1,0,545,207, 49,S104
Mk60,221,237986,1,0,563,208, 31,S104
Mk63,220,239593,1,0,540,202, 45,S104
Mk66,221,241860,1,0,541,204, 19,S104
Mk69,220,243384,1,0,540,202, 23,S104
Mk72,221,244947,1,0,540,204, 18,S104
Mk75,220,247298,1,0,540,208, 24,S104
Mk78,221,248784,1,0,539,204, 49,S104
Mk81,220,250392,1,0,551,202,  5,S104
Mk84,220,252769,1,0,540,206, 15,S104
Mk87,220,254362,1,0,541,201,  5,S104
Mk90,221,255919,1,0,548,208, 28,S104
Mk93,220,258333,1,0,558,206,  5,S104
Mk96,220,259933,1,0,545,202, 14,S104
Mk99,220,261539,1,0,538,207, 35,S104
Mk102,220,263792,1,0,550,202, 32,S104
Mk105,220,265331,1,0,539,202, 28,S104
Mk108,220,266917,1,0,541,207, 40,S104
Mk111,220,269272,1,0,550,205, 25,S104
Mk114,220,270912,1,0,548,206,  5,S104
Mk117,221,272408,1,0,556,204, 20,S104
Mk120,220,274702,1,0,542,205, 21,S104
Mk123,220,276315,1,0,550,207,  6,S104
Mk126,220,277792,1,0,540,207,  5,S104
Mk129,220,280057,1,0,542,202, 45,S104
Mk132,220,281646,1,0,544,208,  2,S104
Mk135,220,283236,1,0,542,201, 33,S104
Mk138,220,285615,1,0,549,202,  5,S104
Mk141,220,287202,1,0,540,208, 37,S104
Mk144,220,288728,1,0,541,202,  9,S104
Mk147,220,291024,1,0,562,201, 22,S104
Mk150,220,292544,1,0,545,208, 26,S104
Mk153,220,294198,1,0,565,201, 21,S104
Mk156,220,296503,1,0,549,204, 21,S104
Mk159,221,298028,1,0,540,208, 25,S104
Mk162,220,299617,1,0,542,207, 31,S104
Mk165,220,301856,1,0,539,202, 35,S104
Mk168,220,303450,1,0,554,204,  7,S104
Mk171,220,304942,1,0,541,202,  1,S104
Mk174,221,307340,1,0,556,205, 24,S104
Mk177,221,308854,1,0,549,208, 11,S104
Mk180,220,310386,1,0,543,201, 16,S104
Mk183,221,312683,1,0,540,203, 42,S104
Mk186,220,314192,1,0,549,207,  1,S104
Mk189,220,315713,1,0,540,207,  6,S104
Mk192,221,318050,1,0,552,208, 22,S104
Mk195,221,319583,1,0,539,206, 20,S104
Mk198,220,321212,1,0,539,208,  2,S104
Mk201,220,323563,1,0,539,208, 15,S104
Mk204,220,325103,1,0,542,207, 34,S104
Mk207,220,326633,1,0,539,204, 37,S104
Mk210,220,328913,1,0,539,205, 12,S104
Mk213,221,330558,1,0,547,203, 18,S104
Mk216,220,332143,1,0,539,208,  7,S104
Mk219,221,334446,1,0,555,203, 23,S104
Mk222,221,336007,1,0,541,203, 11,S104
Mk225,221,337510,1,0,540,204,  5,S104
Mk228,220,342172,1,0,542,202, 17,S104
Mk231,220,343767,1,0,558,202,  1,S104
Mk234,220,345367,1,0,550,203, 44,S104
Mk237,221,347690,1,0,544,204, 21,S104
Mk240,221,349310,1,0,555,203, 14,S104
Mk243,220,350892,1,0,554,202, 25,S104
Mk246,220,353242,1,0,541,201,  3,S104
Mk249,221,354745,1,0,539,208, 15,S104
Mk252,220,356325,1,0,540,207, 27,S104
Mk255,220,358703,1,0,539,201, 17,S104
Mk258,220,360248,1,0,538,202, 50,S104
Mk261,220,361896,1,0,552,202,  9,S104
Mk264,220,364214,1,0,541,201, 48,S104
Mk267,221,365834,1,0,557,208, 30,S104
Mk270,220,367352,1,0,550,201, 19,S104
Mk273,221,369683,1,0,539,205, 34,S104
Mk276,220,371283,1,0,551,205, 17,S104
Mk279,220,372872,1,0,552,207,  1,S104
Mk282,221,375276,1,0,556,204, 39,S104
Mk285,220,376791,1,0,542,205,  6,S104
Mk288,220,378337,1,0,542,204, 14,S104
Mk291,220,380726,1,0,551,202,  3,S104
Mk294,220,382286,1,0,565,203, 13,S104
Mk297,220,383815,1,0,540,201, 13,S104
Mk300,220,386108,1,0,541,202,  9,S104
Mk303,220,387682,1,0,548,208, 41,S104
Mk306,220,389209,1,0,554,207, 36,S104
Mk309,220,391506,1,0,543,207, 27,S104
Mk312,220,393050,1,0,545,207, 36,S104
Mk315,220,394550,1,0,545,201, 28,S104
Mk318,221,396827,1,0,547,205, 47,S104
Mk321,220,398332,1,0,539,202, 19,S104
Mk324,220,399877,1,0,542,202, 49,S104
Mk327,220,402253,1,0,547,204, 14,S104
Mk330,220,403825,1,0,540,201,  2,S104
Mk333,220,405317,1,0,548,201, 38,S104
Mk336,220,407610,1,0,541,206, 20,S104
Mk339,220,409167,1,0,539,202,  8,S104
Mk342,220,410677,1,0,541,201, 46,S104
Mk345,220,412966,1,0,551,205, 25,S104
Mk348,220,414551,1,0,556,208,  9,S104
Mk351,220,416075,1,0,551,208,  8,S104
Mk354,220,418328,1,0,541,202, 25,S104
Mk357,220,419857,1,0,541,201, 17,S104
Mk360,220,421377,1,0,540,208, 40,S104
Mk363,220,423643,1,0,556,204, 44,S104
Mk366,221,425214,1,0,539,206, 22,S104
Mk369,220,426743,1,0,539,204, 10,S104
Mk372,220,429132,1,0,540,206,  4,S104
Mk375,220,430671,1,0,541,207,  1,S104
Mk378,221,432296,1,0,558,203, 21,S104
Mk381,220,434652,1,0,543,208, 20,S104
Mk384,220,436149,1,0,544,202, 40,S104
Mk387,221,437647,1,0,542,204, 50,S104
Mk390,221,439934,1,0,545,204, 15,S104
Mk393,220,441492,1,0,540,201,  9,S104
Mk396,220,443026,1,0,554,201, 13,S104
Mk399,221,445322,1,0,545,206, 14,S104
Mk402,220,446909,1,0,540,202,  3,S104
Mk405,220,448523,1,0,550,206, 45,S104
Mk408,220,450802,1,0,541,201, 15,S104
Mk411,220,452393,1,0,541,205, 10,S104
Mk414,220,453942,1,0,560,207, 23,S104
Mk417,220,456239,1,0,540,207, 41,S104
Mk420,220,457795,1,0,550,208, 33,S104
Mk423,220,459390,1,0,541,202, 14,S104
Mk426,220,461680,1,0,539,208, 47,S104
Mk429,220,463219,1,0,545,208, 12,S104
Mk432,220,464757,1,0,557,206, 48,S104
Mk435,220,467030,1,0,559,207, 16,S104
Mk438,220,468562,1,0,549,205,  7,S104
Mk441,220,470138,1,0,550,202, 24,S104
Mk444,220,472465,1,0,540,202, 21,S104
Mk447,220,474065,1,0,543,201, 30,S104
Mk450,220,475687,1,0,561,201,  2,S104
Mk453,220,498205,1,0,540,207, 36,S104
Mk456,220,499851,1,0,544,208,  1,S104
Mk459,220,501391,1,0,538,206, 37,S104
Mk462,220,503662,1,0,542,207, 21,S104
Mk465,220,505195,1,0,562,201, 24,S104
Mk468,220,506765,1,0,545,207, 45,S104
Mk471,220,509048,1,0,540,207, 48,S104
Mk474,221,510591,1,0,553,206, 15,S104
Mk477,220,512172,1,0,559,207,  7,S104
Mk480,221,514495,1,0,540,203,  8,S104
Mk483,221,516074,1,0,540,202, 15,S104
Mk486,220,517661,1,0,556,202, 31,S104
Mk489,221,519938,1,0,549,208, 38,S104
Mk492,220,521569,1,0,539,207, 46,S104
Mk495,220,523117,1,0,541,201,  3,S104
Mk498,220,525427,1,0,542,202,  1,S104
Mk501,221,526980,1,0,541,208,  6,S104
Mk504,220,528501,1,0,541,202, 38,S104
Mk507,220,530857,1,0,538,208, 29,S104
Mk510,220,532421,1,0,540,208,  1,S104
Mk513,220,533961,1,0,542,201, 35,S104
Mk516,220,536294,1,0,550,206, 27,S104
Mk519,220,537921,1,0,560,207, 23,S104
Mk522,220,539548,1,0,553,201, 20,S104
Mk525,220,541897,1,0,540,207, 43,S104
Mk528,220,543427,1,0,540,202, 43,S104
Mk531,220,545027,1,0,549,208, 33,S104
Mk534,220,547391,1,0,550,201, 28,S104
Mk537,220,549029,1,0,542,208, 19,S104
Mk540,221,550609,1,0,551,203,  4,S104
Mk543,220,552882,1,0,549,202,  2,S104
Mk546,220,554421,1,0,542,206, 27,S104
Mk549,220,556017,1,0,550,202, 19,S104
Mk552,220,558311,1,0,539,208, 12,S104
Mk555,220,559903,1,0,540,208,  3,S104
Mk558,220,561537,1,0,540,207, 50,S104
Mk561,220,563956,1,0,551,208, 23,S104
Mk564,220,565546,1,0,545,201, 43,S104
Mk567,220,567179,1,0,548,207, 32,S104
Mk570,220,569505,1,0,541,207,  2,S104
Mk573,220,571012,1,0,556,205, 30,S104
Mk576,220,572570,1,0,543,207,  3,S104
Mk579,220,574858,1,0,539,203, 50,S104
Mk582,220,576456,1,0,537,205,  9,S104
Mk585,220,578048,1,0,537,206, 20,S104
Mk588,221,580405,1,0,540,203, 13,S104
Mk591,220,581985,1,0,553,207, 14,S104
Mk594,221,583509,1,0,560,204, 10,S104
Mk597,220,585863,1,0,539,206,  7,S104
Mk600,220,587425,1,0,551,203, 25,S104
Mk603,220,588958,1,0,554,208,  3,S104
Mk606,221,591246,1,0,542,206, 39,S104
Mk609,221,592821,1,0,538,207, 11,S104
Mk612,220,594336,1,0,541,207, 12,S104
Mk615,220,596586,1,0,544,207, 13,S104
Mk618,220,598189,1,0,551,207,  9,S104
Mk621,221,599750,1,0,554,201, 40,S104
Mk624,221,602117,1,0,554,207, 12,S104
Mk627,220,603752,1,0,547,204, 16,S104
Mk630,220,605361,1,0,543,205,  8,S104
Mk633,220,607732,1,0,539,208, 25,S104
Mk636,220,609290,1,0,555,201, 18,S104
Mk639,220,610912,1,0,552,208, 46,S104
Mk642,220,613231,1,0,534,203, 13,S104
Mk645,220,614722,1,0,541,202, 10,S104
Mk648,220,616275,1,0,548,208, 16,S104
Mk651,220,618528,1,0,551,206, 29,S104
Mk654,220,620105,1,0,544,201,  6,S104
Mk657,220,621638,1,0,540,208, 18,S104
Mk660,221,623980,1,0,540,201, 26,S104
Mk663,220,625556,1,0,540,208, 39,S104
Mk666,221,627173,1,0,557,202,  7,S104
Mk669,220,629445,1,0,542,205, 34,S104
Mk672,220,631066,1,0,542,201, 15,S104
Mk675,220,632636,1,0,540,206, 17,S104
Mk678,220,654221,1,0,541,207,  4,S104
Mk681,220,655805,1,0,545,207,  4,S104
Mk684,221,657371,1,0,540,208, 14,S104
Mk687,220,659705,1,0,545,206, 41,S104
Mk690,220,661289,1,0,541,203, 22,S104
Mk693,220,662780,1,0,544,205, 19,S104
Mk696,221,665046,1,0,543,208, 22,S104
Mk699,220,666563,1,0,539,208, 11,S104
Mk702,220,668060,1,0,545,207, 42,S104
Mk705,220,670327,1,0,540,201, 46,S104
Mk708,221,671838,1,0,539,203, 31,S104
Mk711,220,673418,1,0,540,203, 12,S104
Mk714,220,675754,1,0,546,204, 18,S104
Mk717,220,677410,1,0,540,203, 10,S104
Mk720,220,678920,1,0,545,208, 23,S104
Mk723,220,681283,1,0,558,207, 32,S104
Mk726,220,682928,1,0,540,201, 19,S104
Mk729,220,684514,1,0,543,202,  8,S104
Mk732,221,686862,1,0,541,208, 10,S104
Mk735,220,688446,1,0,553,203, 10,S104
Mk738,220,690027,1,0,551,202, 17,S104
Mk741,220,692291,1,0,548,201, 43,S104
Mk744,220,693867,1,0,541,206,  4,S104
Mk747,220,695450,1,0,545,201, 18,S104
Mk750,220,697801,1,0,533,202,  6,S104
Mk753,221,699295,1,0,539,207, 11,S104
Mk756,220,700910,1,0,541,204, 18,S104
Mk759,220,703176,1,0,541,201, 16,S104
Mk762,220,704685,1,0,554,205, 41,S104
Mk765,220,706253,1,0,555,202, 21,S104
Mk768,220,708621,1,0,543,205, 20,S104
Mk771,220,710182,1,0,542,201, 12,S104
Mk774,221,711715,1,0,558,206, 16,S104
Mk777,221,714094,1,0,545,201, 24,S104
Mk780,220,715584,1,0,539,202, 24,S104
Mk783,220,717166,1,0,541,205, 25,S104
Mk786,220,719480,1,0,543,205, 13,S104
Mk789,220,721044,1,0,540,205, 10,S104
Mk792,220,722552,1,0,548,201,  7,S104
Mk795,220,724865,1,0,544,202, 11,S104
Mk798,220,726514,1,0,551,206, 23,S104
Mk801,220,728101,1,0,538,201, 17,S104
Mk804,220,730424,1,0,544,201, 29,S104
Mk807,220,731954,1,0,541,203, 44,S104
Mk810,220,733445,1,0,544,204,  6,S104
Mk813,220,735741,1,0,540,208, 13,S104
Mk816,220,737383,1,0,548,203,  2,S104
Mk819,220,738921,1,0,540,206, 16,S104
Mk822,221,741246,1,0,544,203,  9,S104
Mk825,220,742745,1,0,543,208,  8,S104
Mk828,220,744285,1,0,541,201, 22,S104
Mk831,220,746597,1,0,553,203,  3,S104
Mk834,220,748220,1,0,555,201, 22,S104
Mk837,220,749755,1,0,540,207, 22,S104
