Derived,Base,affix,Source,FinalCut,FamilySize,BaseFreq,LogBF,SF,LogSF,BaseLength,SurfaceLeng,BG_Mean,BG_Freq_By_Pos,,,"FS, BF","FS, SF","BF, SF",,
KICKING,KICK,ING,RastleFiller,L,15,1012,6.92,231,5.44,4,7,2483.33,2690,,,,,,,
COOLING,COOL,ING,RastleFiller,L,14,1434,7.27,102,4.62,4,7,3043.17,4636,,,,,,,
PARKING,PARK,ING,RastleFiller,L,9,1945,7.57,249,5.52,4,7,2595.5,3656,,,,,,,
GUARDING,GUARD,ING,RastleFiller,L,28,2047,7.62,82,4.41,5,8,2442.57,2734,,,,,,,
LAUGHING,LAUGH,ING,RastleFiller,L,18,4181,8.34,740,6.61,5,8,2168.43,2579,,,,,,,
DAMPISH,DAMP,ISH,FORD,L,11,621,6.43,4,1.39,4,7,,,,,,,,,
STYLISH,STYLE,ISH,XuTaft,L,16,2119,7.66,39,3.66,5,7,1860.5,1719,,,,,,,
JUMPING,JUMP,JUMPING,RastleFiller,L,15,1395,7.24,296,5.69,4,7,2220.5,2709,,,,,,,
GUILELESS,GUILE,LESS,Graves,L,9,61,4.11,7,1.95,5,9,2108.88,2493,,,,,,,
BOOTLESS,BOOT,LESS,Graves,L,19,940,6.85,1,0.00,4,8,1784.43,2864,,,,,,,
CLOUDLESS,CLOUD,LESS,RastleFiller,L,14,1181,7.07,24,3.18,5,9,1733.5,2148,,,,,,,
BONELESS,BONE,LESS,Graves,L,35,1490,7.31,6,1.79,4,8,2693.57,3751,,,,,,,
SHAPELY,SHAPE,LY,XuTaft,L,12,1909,7.55,43,3.76,5,7,1375.67,1684,,,,,,,
QUIETLY,QUIET,LY,Rastle,L,18,2691,7.90,973,6.88,5,7,924.83,835,,,,,,,
WRONGLY,WRONG,LY,FORD,L,12,3532,8.17,101,4.62,5,7,2127.83,1376,,,,,,,
EXCITEMENT,EXCITE,MENT,FORD,L,9,1924,7.56,648,6.473890696,6,10,1980.78,2472,,,,,,,
DEAFNESS,DEAF,NESS,FORD,L,9,290,5.67,35,3.56,4,8,,,,,,,,,
BLINDNESS,BLIND,NESS,FORD,L,16,1024,6.93,76,4.33,5,9,2623,2287,,,,,,,
MADNESS,MAD,NESS,FORD,L,10,1298,7.17,222,5.40,3,7,1855,2122,,,,,,,
DRYNESS,DRY,NESS,XuTaft,L,19,2366,7.77,20,3.00,3,7,1576.67,1533,,,,,,,
SAILOR,SAIL,OR,RastleFiller,L,17,740,6.61,99,4.60,4,6,1462,1540,,,,,,,
CONDUCTOR,CONDUCT,OR,RastleFiller,L,16,1084,6.99,113,4.73,7,9,1862.88,3953,,,,,,,
EDITOR,EDIT,OR,RastleFiller,L,12,1298,7.17,463,6.14,4,6,2531.8,970,,,,,,,
COLLECTOR,COLLECT,OR,XuTaft,L,23,3221,8.08,122,4.80,7,9,1920.63,4015,,,,,,,
PROFESSOR,PROFESS,PR,RastleFiller,L,14,3563,8.18,1260,7.14,7,9,1731.75,3034,,,,,,,
WEEDY,WEED,Y,Graves,L,17,729,6.59,20,3.00,4,5,,,,,,,,,
CREAMY,CREAM,Y,RastleFiller,L,10,792,6.67,73,4.29,5,6,1639.6,1634,,,,,,,
