SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,ART_correct,vocab_correct,spell_correct,z_ART,z_vocab,z_spell,Dim.1,Dim.2,lang_type,word,base,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,famsize
S101,994,0,NW_L_COMP,204,8,INKISM,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,inkism,ink,Complex,ish,Crepaldi,12,290,5.67,L,S,3,6,1,Large
S101,694,0,NW_L_COMP,204,9,ILLIST,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,illist,ill,Complex,ist,Crepaldi,27,2375,7.77,L,L,3,6,1,Large
S101,543,1,NW_L_COMP,204,10,COLDITY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,coldity,cold,Complex,ity,Crepaldi,14,3585,8.18,L,L,4,7,1,Large
S101,599,0,NW_L_COMP,204,11,MOUTHIZE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,mouthize,mouth,Complex,ize,Crepaldi,18,2866,7.96,L,L,5,8,1,Large
S101,758,0,NW_L_COMP,204,12,MUDLY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,mudly,mud,Complex,ly,Crepaldi,16,912,6.82,L,L,3,5,1,Large
S101,993,0,NW_L_COMP,204,13,ADDMENT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,addment,add,Complex,ment,Crepaldi,10,5883,8.68,L,L,3,7,1,Large
S101,557,0,NW_L_COMP,204,14,PASSMENT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,passment,pass,Complex,ment,Crepaldi,43,10035,9.21,L,L,4,8,1,Large
S101,996,0,NW_L_COMP,204,15,FREENESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,freeness,free,Complex,ness,Crepaldi,88,7277,8.89,L,L,4,8,1,Large
S101,834,0,NW_L_COMP,204,16,FLIPORY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,flipory,flip,Complex,ory,Crepaldi,10,184,5.21,L,S,4,7,1,Large
S101,991,0,NW_L_COMP,204,17,FELLOWOUS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,fellowous,fellow,Complex,ous,Crepaldi,11,1324,7.19,L,L,6,9,1,Large
S101,537,1,NW_L_COMP,204,18,BOILOUS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,boilous,boil,Complex,ous,Graves,13,1102,7,L,L,4,7,1,Large
S101,687,0,NW_L_COMP,204,19,KINGISM,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,kingism,king,Complex,ish,Rastle,11,2275,7.73,L,L,4,7,1,Large
S101,838,0,NW_L_COMP,204,20,NORTHIZE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,northize,north,Complex,ize,Rastle,30,2541,7.84,L,L,5,8,1,Large
