SubjID,z_vcb,z_spl,z_art,Dim.1,Dim.2,correct,response_time,trial_type,complexity,target,ItemID,word_trig,cond_trig,base,affix,FS,BF,LogFS,LogBF,BaseLength,WholeFormLength,List
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,875,NW,COMP,growist,620,20,206,grow,ic,14,8545,2.6390573296152584,9.05,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,919,NW,SIMP,flitenge,43,3,204,flit,ence,11,599,2.3978952727983707,6.4,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,869,NW,COMP,pickence,65,5,206,pick,ence,20,3385,2.995732273553991,8.13,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,849,NW,SIMP,treasonime,314,14,203,treason,ize,4,138,1.3862943611198906,4.93,7,10,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,725,NW,COMP,elbowism,610,10,206,elbow,ish,18,1756,2.8903717578961645,7.47,5,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,890,NW,COMP,earist,612,12,206,ear,ist,16,1711,2.772588722239781,2.77,3,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,973,NW,COMP,nutly,614,14,206,nut,ly,31,946,3.4339872044851463,6.85,3,5,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,865,NW,COMP,beanish,68,8,206,bean,ish,9,425,2.1972245773362196,6.05,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,947,NW,COMP,urnist,55,5,205,urn,ist,2,68,0.6931471805599453,4.22,3,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,927,NW,COMP,boltous,513,13,205,bolt,ous,6,348,1.791759469228055,5.85,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,894,NW,COMP,gumful,52,2,205,gum,ful,2,57,0.6931471805599453,4.04,3,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,790,NW,COMP,zoomful,519,19,205,zoom,ful,2,34,0.6931471805599453,3.53,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,972,NW,SIMP,yankody,323,23,203,yank,ory,2,51,0.6931471805599453,3.93,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,849,NW,SIMP,debtith,322,22,203,debt,ish,4,656,1.3862943611198906,6.49,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,802,NW,SIMP,coldidy,410,10,204,cold,ity,14,3585,2.6390573296152584,8.18,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,744,NW,SIMP,mudla,412,12,204,mud,ly,16,912,2.772588722239781,6.82,3,5,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,761,NW,SIMP,branchel,316,16,203,branch,er,3,1692,1.0986122886681098,7.43,6,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,840,NW,COMP,bearist,625,25,206,bear,ist,30,2626,3.4011973816621555,7.87,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,706,NW,COMP,medicalary,518,18,205,medical,ary,3,1323,1.0986122886681098,7.19,7,10,BA
