SubjID,z_vcb,z_spl,z_art,Dim.1,Dim.2,correct,response_time,trial_type,target,word_trig,cond_trig,Base,affix,FS,BF,LogFS,LogBF,BaseLength,WholeFormLength,List
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,591,CW,allowance,5,201,allow,ance,5,5014,1.6094379124341003,8.52,5,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,635,CW,kicking,23,202,kick,ing,15,1012,2.70805020110221,6.92,4,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,622,CW,bossy,49,201,boss,y,6,551,1.791759469228055,6.31,4,5,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,728,CW,insistent,9,201,insist,ent,5,1631,1.6094379124341003,7.4,6,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,465,CW,enjoyment,40,201,enjoy,ment,4,2771,1.3862943611198906,7.93,5,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,620,CW,guileless,31,202,guile,less,9,61,2.1972245773362196,4.11,5,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,540,CW,awareness,44,201,aware,ness,4,2391,1.3862943611198906,7.78,5,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,583,CW,wrongly,37,202,wrong,ly,12,3532,2.4849066497880004,8.17,5,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,563,CW,bootless,32,202,boot,less,19,940,2.9444389791664403,6.85,4,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,454,CW,knocker,4,202,knock,er,15,1104,2.70805020110221,7.01,5,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,663,CW,swimmer,5,202,swim,er,11,1145,2.3978952727983707,7.04,4,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,533,CW,feeder,14,202,feed,er,11,2806,2.3978952727983707,7.94,4,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,661,CW,lender,11,201,lend,er,3,505,1.0986122886681098,6.22,4,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,987,CW,hugely,35,201,huge,ly,3,1918,1.0986122886681098,7.56,4,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,717,CW,professor,47,202,profess,pr,14,3563,2.6390573296152584,8.18,7,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,704,CW,neatly,33,201,neat,ly,3,924,1.0986122886681098,6.83,4,6,AB
